Food Truck Num,Food Truck Review,0am Food Truck Checkin,4am Food Truck Checkin,8am Food Truck Checkin,12pm Food Truck Checkin,4pm Food Truck Checkin,8pm Food Truck Checkin,0am Food Checkin,4am Food Checkin,8am Food Checkin,12pm Food Checkin,4pm Food Checkin,8pm Food Checkin,0am No Food Checkin,4am No Food Checkin,8am No Food Checkin,12pm No Food Checkin,4pm No Food Checkin,8pm No Food Checkin,Cater,Credit Card,Delivery,Drive-thru,Food Review,Food: 1 Price,Food: 2 Price,Food: 3 Price,Food: 4 Price ,Food: 1 Star,Food: 2 Star,Food: 3 Star,Food: 4 Star,Food: 5 Star,Good for Groups,Good for Kids,No Food Review,No Food: 1 Price,No Food: 2 Price,No Food: 3 Price,No Food: 4 Price,No Food: 1 Star,No Food: 2 Star,No Food: 3 Star,No Food: 4 Star,No Food: 5 Star,Noise: Average,Noise: Loud,Noise: Quiet,Outdoor Seating,Parking: Garage,Parking: Lot,Parking: Street,Parking: Valet,Parking: Validated,Reservation,Takeout,Waiter Service,Wi-Fi
4,174,0,45,194,309,117,21,170,266,2310,3669,4509,1298,157,1249,4118,5584,5853,1985,35,73,13,4,3880,41,31,0,0,0,4,22,45,3,65,15,4218,35,79,8,3,4,16,41,106,103,45,0,21,36,0,54,0,0,0,0,74,29,59
1,39,0,0,45,102,42,5,24,192,1034,1142,2465,570,35,565,1516,1438,1772,392,17,39,11,5,1489,24,13,1,0,1,3,8,26,2,33,3,993,16,31,4,1,1,7,12,40,49,23,2,6,18,0,23,1,0,0,0,38,16,26
4,109,0,44,189,238,111,12,169,710,4397,6676,10336,2741,151,934,3505,4653,4352,1439,51,125,20,11,7041,56,61,7,2,0,8,35,79,7,109,8,3877,35,102,29,6,2,21,77,128,121,80,10,20,67,2,80,0,2,0,0,116,59,95
8,210,7,12,250,426,175,23,1403,411,6799,10170,12863,6625,628,2218,5520,6622,8262,4181,41,122,24,7,11258,70,52,1,0,0,4,35,80,7,100,25,5505,33,71,12,1,7,19,37,75,103,69,14,22,90,15,52,43,2,2,0,119,55,90
5,523,1,121,963,968,800,118,470,1151,7043,6971,11586,4179,353,4592,7238,6636,10542,2154,29,81,14,7,7035,40,37,2,0,0,3,19,51,10,73,13,4123,50,73,7,2,5,16,57,96,121,40,5,22,42,0,57,1,1,0,0,77,43,54
7,202,2,70,371,269,97,10,268,1285,8313,10038,17236,5821,201,3228,6417,6353,9051,1771,44,103,17,8,11234,53,47,6,1,0,6,20,65,18,90,16,4824,38,66,21,5,1,8,46,98,117,72,4,18,58,1,82,3,16,0,0,99,50,83
3,45,0,1,62,89,28,11,51,156,1095,1776,3475,882,31,359,1456,2045,1960,550,20,57,5,4,1802,23,34,2,0,0,3,29,23,6,52,0,1046,18,30,7,0,0,17,28,46,34,36,5,11,26,1,40,1,0,0,0,55,34,44
4,145,0,1,127,220,35,12,59,53,715,1227,1593,411,43,108,804,1446,1492,529,10,54,6,7,1798,44,13,0,0,0,6,16,31,6,49,4,1901,31,32,4,0,6,9,32,65,82,29,5,10,27,1,31,11,0,0,0,55,29,38
6,389,1,87,647,571,336,69,87,139,2816,5153,7631,2281,74,840,3609,6681,6014,1200,26,62,4,5,4190,30,31,1,0,0,2,14,45,3,57,12,2614,13,82,31,4,4,17,56,102,66,50,4,2,38,0,47,1,0,0,0,62,31,51
3,26,0,0,2,14,5,0,35,230,1715,1670,3196,907,45,436,1321,1181,1207,303,16,40,6,2,2964,22,19,1,1,0,1,12,26,6,36,5,1458,18,21,2,1,1,6,19,47,54,24,1,14,25,0,32,1,1,0,0,41,25,36
8,352,2,145,650,523,315,25,78,142,1731,2921,5064,1272,220,1139,3725,6071,5815,1029,32,63,8,6,3460,30,31,1,0,0,3,24,32,5,57,6,2958,31,80,18,6,2,12,49,101,86,44,3,11,38,0,44,0,0,0,0,62,31,48
2,15,0,0,4,4,3,1,51,63,400,550,869,203,80,295,609,877,704,271,8,18,1,2,505,10,7,0,0,0,0,5,12,2,17,0,478,8,11,6,0,2,3,12,20,21,13,2,1,9,0,9,0,0,0,0,18,6,15
1,3,0,1,2,3,1,1,43,41,622,873,1043,308,41,167,572,504,460,291,15,68,9,6,791,46,17,1,0,0,11,25,30,8,60,0,436,15,18,2,1,5,13,27,13,14,29,7,15,11,0,18,0,0,0,0,69,32,37
2,158,2,7,128,146,118,34,21,57,716,1069,1027,189,138,613,1075,1235,1395,622,9,41,2,3,1360,22,21,0,0,0,8,4,27,10,31,9,1532,8,14,2,1,6,14,26,29,33,27,2,6,4,1,19,2,0,0,0,39,22,30
6,100,0,64,239,126,34,7,104,354,3120,4345,4194,1327,97,1630,4801,5507,4308,726,28,54,15,5,3307,34,18,2,0,0,0,13,37,4,50,4,2984,15,56,20,3,2,14,47,75,107,39,3,12,39,0,35,0,0,0,0,52,27,46
3,33,0,0,25,29,31,3,42,108,1336,1738,3049,837,27,347,1674,1726,1635,429,17,41,5,6,1605,24,15,0,0,0,2,14,24,3,37,3,931,12,28,4,0,2,5,21,34,31,27,3,6,24,0,24,0,0,0,0,40,19,31
1,39,0,0,1,11,25,6,59,130,1280,1962,3371,885,39,212,799,1398,1446,654,26,55,9,5,2902,21,34,0,0,0,5,11,38,2,52,8,1078,21,28,7,1,1,8,26,49,39,38,4,9,27,0,39,1,0,0,0,52,30,42
2,20,0,0,0,0,0,0,35,62,797,956,735,201,56,372,1581,2117,1940,549,11,49,3,7,1138,39,11,1,0,0,6,17,28,3,43,3,1131,16,20,3,1,1,9,24,43,33,22,3,14,13,0,24,0,0,0,0,50,17,32
6,109,0,0,64,124,35,5,119,77,979,1572,2533,631,104,949,2792,2687,2221,616,25,75,12,7,2161,48,24,1,0,1,9,19,39,9,60,8,2107,43,37,6,2,3,7,46,81,85,44,1,15,23,1,38,0,0,0,0,73,38,54
3,24,0,1,5,9,3,3,31,51,438,686,642,152,33,223,544,539,319,84,10,43,4,8,884,37,12,0,0,1,4,15,21,12,36,1,692,16,19,1,0,3,9,18,29,35,25,3,11,12,0,19,0,0,0,0,47,20,32
4,108,0,0,71,69,87,16,99,250,2206,2926,4282,1633,42,343,2167,2068,1960,470,22,54,9,8,3256,37,15,1,1,2,4,14,35,2,48,6,1536,21,34,3,1,3,11,29,44,54,31,6,10,25,0,22,15,0,0,0,53,25,43
2,40,1,1,60,172,56,9,14,182,802,1010,1479,353,27,210,899,828,899,298,7,30,5,3,1351,19,12,0,0,0,2,6,20,4,27,1,1077,8,24,3,2,4,5,27,24,57,20,0,5,12,0,21,0,0,0,0,30,17,22
6,296,0,102,457,273,113,17,391,283,4449,7662,13077,4516,299,1891,4985,5608,5345,1617,41,86,16,8,8148,41,44,2,0,0,3,14,61,9,72,16,3916,33,72,15,3,2,9,40,81,99,58,5,13,47,0,61,2,7,1,0,84,40,66
2,52,0,0,48,132,59,22,109,98,1475,2275,3494,1186,36,1170,1967,2588,2569,739,18,37,6,2,1983,18,20,0,0,0,0,14,23,2,36,0,1272,14,38,10,1,1,6,22,38,49,26,3,6,24,0,25,2,0,0,0,37,16,32
4,208,1,9,206,334,118,9,68,392,3646,3074,5602,1592,322,2220,5529,6663,9563,2298,14,52,6,4,3793,22,24,4,4,0,2,12,34,11,48,4,3202,20,52,9,5,5,8,41,48,66,28,4,13,34,4,36,0,7,0,0,44,30,40
25,1121,6,145,1630,1067,746,121,1090,989,9916,12744,20535,10590,835,2624,8415,10141,16291,6286,65,165,28,4,17254,86,83,4,0,0,7,50,101,23,148,17,8695,57,80,19,3,15,28,58,129,182,111,19,19,111,35,51,65,11,12,0,153,96,138
1,11,0,0,0,0,0,0,18,15,1252,2211,2608,506,20,347,732,923,867,201,12,35,8,5,2344,26,8,0,0,0,3,8,22,2,28,4,807,11,21,3,1,1,5,18,28,32,21,0,10,9,0,25,1,0,0,0,33,14,24
2,19,0,0,52,43,14,5,44,106,1762,1896,1208,314,12,439,784,755,732,234,12,40,10,1,1772,20,17,0,1,0,3,15,18,5,33,1,843,14,20,2,0,4,7,17,26,31,18,2,11,19,0,26,1,0,0,0,37,16,30
4,124,4,0,140,167,66,19,110,134,2766,4015,6850,2799,243,1123,1909,2468,2737,1316,8,22,1,2,4449,9,13,0,0,0,1,4,13,4,19,6,2307,16,32,9,4,1,2,15,38,44,16,2,2,16,0,16,3,5,0,0,22,14,18
1,27,0,36,108,21,5,1,87,125,1141,2099,3125,1075,20,448,1485,1915,1661,304,11,31,3,2,2108,18,13,0,0,0,3,7,23,0,26,7,1226,9,23,3,0,3,8,16,38,39,26,0,4,15,0,20,0,0,0,0,30,16,25
1,15,0,0,6,6,8,0,27,86,504,399,615,196,103,78,569,820,1491,432,3,15,4,2,511,7,7,0,0,0,1,2,9,3,14,0,531,4,11,2,0,1,1,10,14,14,3,3,7,5,0,11,0,2,0,0,13,10,10
2,17,0,2,16,11,0,0,13,52,592,723,393,134,66,663,692,889,695,300,7,21,3,2,612,15,5,1,0,0,1,9,10,1,19,2,946,6,18,3,0,7,5,7,22,18,10,0,8,11,0,14,0,2,0,0,18,7,14
2,59,0,1,78,147,108,14,4,23,536,1142,1414,293,18,79,1174,2081,1840,285,10,21,1,2,867,6,14,0,0,0,3,8,9,2,20,0,960,6,32,20,2,1,10,27,36,19,16,1,0,9,0,11,1,0,0,0,19,9,15
4,76,0,30,395,365,238,46,310,715,4076,4112,9575,4445,235,1808,1859,1968,3101,1611,14,29,2,0,5297,6,17,6,0,0,0,4,17,8,26,2,2200,7,53,15,4,0,1,7,26,72,20,2,4,27,5,7,24,4,1,0,23,24,26
2,26,0,0,22,29,30,3,35,74,899,1286,2239,630,22,295,1538,1588,1465,372,11,34,5,5,1109,21,11,0,0,0,2,14,16,3,31,3,761,10,23,3,0,2,4,17,30,15,23,3,4,18,0,18,0,0,0,0,33,15,25
2,38,0,27,53,29,8,0,48,18,503,942,1325,415,41,87,301,446,612,247,8,26,6,4,1296,19,9,0,0,0,3,8,15,2,22,3,627,16,21,1,1,0,1,16,19,37,9,0,13,6,0,19,0,0,0,0,26,12,15
3,18,0,1,4,10,0,1,13,22,222,307,487,120,14,183,430,387,521,154,5,12,1,0,417,8,4,0,0,0,1,4,4,3,10,0,319,10,10,1,0,0,5,3,13,16,6,0,4,4,0,8,0,0,0,0,11,5,8
4,35,0,10,40,55,14,1,33,102,1665,3287,6371,2066,91,498,2009,2694,2539,686,10,29,1,0,3965,3,19,5,2,0,0,6,19,5,27,0,1679,4,26,21,3,2,4,11,42,45,17,2,9,22,12,15,1,10,7,0,20,25,20
1,6,0,0,5,3,2,0,9,21,170,132,293,95,3,148,519,442,535,134,3,7,2,1,256,3,5,0,0,0,0,3,6,0,7,0,321,5,5,1,1,0,1,6,11,13,5,0,2,3,0,2,1,0,0,0,7,4,6
1,67,0,42,159,80,10,3,0,10,258,351,668,125,0,54,218,256,235,86,5,9,3,0,634,3,6,0,0,0,0,1,8,0,8,1,316,2,8,2,2,0,1,2,7,18,6,0,3,7,0,7,1,0,0,0,8,7,8
2,30,1,2,37,48,28,4,20,46,471,1042,1612,464,62,281,1282,2612,2151,607,7,37,4,5,1365,25,11,0,0,1,4,22,10,2,31,7,1316,10,43,6,3,3,10,23,39,14,20,4,7,7,0,21,0,1,0,0,37,16,25
1,19,0,0,14,36,16,12,26,37,348,738,846,260,51,238,847,1316,1284,456,8,16,2,1,583,10,6,0,0,0,2,3,10,1,15,1,828,10,17,2,1,0,4,15,23,18,11,0,4,7,0,11,0,0,0,0,16,6,11
2,47,0,87,187,113,42,3,6,16,205,528,1086,227,89,239,1124,1536,1658,350,6,12,3,2,686,5,7,0,0,0,0,4,7,1,12,3,881,7,16,3,2,1,3,12,21,25,8,0,3,9,0,5,0,0,0,0,12,5,8
1,23,0,0,13,19,13,4,0,7,180,421,660,93,5,423,403,609,792,109,8,11,4,0,645,5,6,0,0,0,1,4,5,1,9,0,442,7,14,4,1,0,3,10,22,17,6,1,3,6,0,9,0,0,0,0,10,6,8
3,85,0,0,68,65,87,16,83,131,1776,2306,3289,1361,11,26,364,486,387,68,13,26,1,1,2368,12,12,1,1,0,0,6,20,1,26,4,526,3,11,2,1,1,3,12,15,22,17,3,5,18,0,11,15,0,0,0,24,16,23
2,15,1,0,45,39,28,6,15,61,646,830,1444,346,8,421,724,709,522,93,10,32,5,1,945,11,19,2,0,0,6,9,16,4,25,1,402,7,18,3,1,2,4,11,27,22,18,2,5,22,0,14,0,0,0,0,28,18,23
2,67,0,4,102,156,67,10,52,76,442,550,944,321,97,367,701,871,978,655,11,24,3,6,1030,19,4,1,0,0,4,8,14,1,19,2,1012,12,22,4,0,0,2,9,29,29,15,0,7,6,0,13,1,1,0,0,26,12,19
2,76,0,43,153,165,77,4,87,79,1624,3441,5100,1421,17,231,1635,2527,2109,437,24,48,9,3,2807,20,25,3,0,0,2,11,36,1,45,3,1605,9,53,16,2,2,11,36,58,32,34,4,4,33,0,37,0,0,0,0,47,24,37
3,66,0,1,104,165,67,8,34,163,1405,1813,3725,931,11,458,1175,892,1210,299,19,39,3,2,2032,13,22,1,0,1,3,9,25,2,37,1,884,12,25,2,1,0,6,10,41,31,24,2,8,23,0,27,0,0,0,0,35,22,29
2,37,0,36,142,87,22,5,44,225,1208,1637,1603,511,5,386,1037,1116,902,106,11,20,2,2,1190,13,7,0,0,0,0,6,13,1,19,1,614,6,17,3,0,0,4,17,13,11,15,1,4,13,0,12,0,0,0,0,20,8,19
2,88,1,2,110,160,98,9,11,257,2240,1300,2320,657,22,853,1165,1075,2371,255,7,16,3,0,1544,7,8,1,1,0,0,2,14,4,17,4,618,6,9,0,2,2,2,11,10,26,8,1,6,10,1,13,0,1,0,0,14,11,15
1,46,0,0,43,129,57,22,99,69,1195,1998,3156,1089,28,1023,1457,2152,2027,598,13,28,2,1,1639,13,15,0,0,0,0,11,17,0,27,0,979,9,30,10,0,0,5,17,26,36,20,3,3,19,0,22,1,0,0,0,28,12,24
1,13,0,0,1,3,1,1,8,48,366,482,678,173,16,288,765,918,705,140,12,24,8,5,883,15,9,0,0,0,0,9,13,4,22,0,659,6,18,4,0,1,13,11,25,26,16,0,7,14,1,14,0,0,0,0,24,12,22
2,19,0,0,5,9,0,1,34,34,328,363,208,82,26,60,155,129,159,88,5,32,4,5,306,27,4,0,0,0,5,15,11,5,27,0,214,8,14,2,0,2,7,11,6,12,14,4,7,4,0,7,0,0,0,0,32,16,17
1,10,0,0,8,9,4,4,59,63,840,1704,3544,1179,46,243,1533,2366,2220,584,11,28,4,0,1908,8,15,5,0,0,0,5,21,2,26,4,897,6,20,13,0,0,2,11,26,16,22,3,1,24,1,16,5,6,0,0,22,18,21
5,362,1,51,539,550,331,68,20,84,1981,3680,5639,1586,70,460,2502,5366,4960,1088,18,40,1,4,2750,16,24,1,0,0,0,12,27,3,38,7,1789,8,67,28,4,1,10,42,68,36,31,4,0,28,0,34,1,0,0,0,40,21,33
1,9,0,2,5,3,0,2,0,3,183,234,150,30,1,59,477,737,638,40,1,3,1,0,255,1,2,0,0,0,0,0,2,1,2,0,328,1,1,2,0,0,1,3,12,19,0,0,3,2,0,3,0,0,0,0,3,3,2
2,158,2,7,128,146,118,34,33,40,742,1284,1159,259,60,215,332,309,341,172,8,30,0,1,1686,22,9,0,0,0,0,3,22,8,25,6,596,4,5,2,0,1,1,12,14,17,17,2,5,7,0,21,4,0,0,0,28,16,24
1,5,0,0,1,3,0,0,20,15,219,324,392,133,36,360,709,807,500,121,5,15,6,4,334,12,3,0,0,0,1,4,12,0,13,0,358,8,13,0,0,1,2,14,11,7,7,0,6,4,0,7,0,0,0,0,15,5,9
1,38,0,0,28,79,23,4,67,22,132,272,403,100,46,107,640,711,534,121,4,12,0,3,234,9,3,0,0,0,0,5,7,0,11,0,416,7,12,2,0,0,4,15,16,12,4,0,4,5,0,4,0,0,0,0,12,3,8
2,53,0,3,44,43,7,1,57,198,1279,2150,3670,1061,35,275,927,1608,1234,302,13,28,2,1,2779,5,18,5,1,0,0,6,23,0,28,6,1031,7,23,9,1,0,3,14,23,10,22,1,4,24,1,23,0,3,0,0,25,23,25
1,72,0,0,80,200,52,2,53,48,568,1287,1801,490,33,409,1189,1638,1436,481,9,19,4,1,1274,8,10,0,0,0,1,7,10,1,15,4,1084,6,27,3,1,0,7,13,30,19,10,0,7,8,0,15,0,0,0,0,19,7,16
1,55,0,1,52,131,87,16,156,23,802,1354,2112,1055,108,642,1461,1198,1603,855,7,16,3,2,1602,10,6,0,0,0,1,2,11,2,15,3,1034,17,18,0,0,1,6,9,23,27,10,1,4,10,0,14,0,0,0,0,16,9,12
1,9,0,0,0,0,0,0,718,64,1419,2372,6806,2404,109,794,2531,2886,4323,852,4,15,3,0,1186,3,10,1,0,0,0,3,11,2,12,1,1118,9,24,2,1,1,4,14,19,35,8,2,2,12,0,9,2,0,0,0,13,11,10
1,12,0,0,1,1,1,0,11,42,1049,1846,2145,518,28,504,1361,1589,1727,249,16,33,10,6,2000,17,16,0,0,0,0,11,18,4,31,5,1087,10,33,1,3,4,7,17,40,54,24,1,7,17,0,28,1,0,0,0,33,20,29
1,22,0,74,98,23,2,2,1,1,25,117,237,102,1,35,124,215,156,32,1,1,0,0,94,0,1,0,0,0,0,1,0,0,1,1,153,4,3,3,0,0,1,2,8,7,0,0,0,0,0,1,0,0,0,0,1,1,1
1,3,0,1,2,3,1,1,24,2,294,520,710,193,20,93,428,408,528,275,6,35,3,1,439,18,14,0,0,0,5,13,14,5,30,0,271,7,9,0,1,3,6,17,8,4,16,5,6,6,0,9,0,0,0,0,35,10,20
1,5,0,0,2,6,2,2,15,28,582,900,1653,404,4,121,550,651,613,123,7,23,5,3,1356,11,12,1,0,0,1,7,15,1,19,2,679,8,19,6,2,0,1,13,24,41,14,0,7,9,0,14,0,0,0,0,22,11,16
2,49,0,52,114,27,0,1,68,41,381,438,871,238,11,166,565,558,554,174,5,23,2,2,510,10,14,0,0,0,4,6,12,3,20,0,540,10,15,4,2,1,6,16,19,38,11,2,2,13,0,11,0,0,0,0,22,12,14
3,86,1,0,76,190,100,7,21,30,651,1504,2652,678,12,139,793,1251,1284,471,12,35,2,5,1604,22,15,0,0,0,4,9,20,4,36,3,809,14,23,8,0,2,6,20,28,28,21,7,6,13,0,26,1,0,0,0,36,15,28
1,20,0,0,7,1,28,7,16,52,910,2183,3705,1099,28,233,1836,3339,3239,802,16,41,4,6,1956,21,17,1,0,0,3,13,23,2,39,0,1244,8,32,16,1,0,5,20,33,29,24,4,3,26,0,25,3,0,0,0,38,19,29
1,3,0,0,0,0,0,0,10,20,230,410,518,96,12,318,599,642,386,106,5,13,3,3,518,8,5,0,0,0,2,4,5,3,10,1,386,6,5,1,0,0,2,10,18,19,9,0,3,3,1,6,0,0,0,0,13,6,9
