0am Food Checkin,4am Food Checkin,8am Food Checkin,12pm Food Checkin,4pm Food Checkin,8pm Food Checkin,0am No Food Checkin,4am No Food Checkin,8am No Food Checkin,12pm No Food Checkin,4pm No Food Checkin,8pm No Food Checkin,Cater,Credit Card,Delivery,Drive-thru,Food Review,Food: 1 Price,Food: 2 Price,Food: 3 Price,Food: 4 Price ,Food: 1 Star,Food: 2 Star,Food: 3 Star,Food: 4 Star,Food: 5 Star,Good for Groups,Good for Kids,No Food Review,No Food: 1 Price,No Food: 2 Price,No Food: 3 Price,No Food: 4 Price,No Food: 1 Star,No Food: 2 Star,No Food: 3 Star,No Food: 4 Star,No Food: 5 Star,Noise: Average,Noise: Loud,Noise: Quiet,Outdoor Seating,Parking: Garage,Parking: Lot,Parking: Street,Parking: Valet,Parking: Validated,Takeout,Waiter Service,Wi-Fi,_id
41,36,649,1056,1448,366,29,78,514,810,1108,307,8,43,3,3,1622,35,11,0,0,0,4,11,26,6,39,3,1419,23,28,1,0,5,6,23,49,69,25,3,8,24,1,26,11,0,0,44,24,31,30
20,145,1349,1302,1945,463,26,688,1297,1060,992,194,16,56,11,3,1634,24,28,2,0,0,8,18,27,7,46,3,917,16,25,5,1,2,7,21,40,47,32,2,10,27,0,25,0,0,0,52,29,37,31
34,163,1424,1847,3832,961,12,474,1202,930,1250,307,21,43,4,2,2151,13,25,1,0,1,3,10,28,2,40,1,909,13,27,2,1,0,6,10,42,35,26,2,8,25,0,29,0,0,0,38,23,31,32
53,177,2352,2231,3361,952,237,1515,3229,4368,6738,1478,8,31,3,3,2130,13,16,1,1,0,0,8,18,7,29,2,1763,13,26,6,4,4,5,24,30,40,17,3,8,22,3,22,0,4,0,25,17,24,33
33,168,2841,3425,3390,877,268,1011,3173,4338,3925,767,29,56,8,7,3135,37,20,1,0,0,4,18,35,2,52,8,2006,17,38,7,2,4,9,32,56,54,36,3,9,32,0,35,0,0,1,55,23,43,34
230,55,740,1205,2408,733,163,989,2704,2586,2405,623,19,66,14,4,1851,43,20,1,0,1,10,17,32,8,49,7,2145,35,42,5,2,4,6,33,88,100,34,2,11,18,0,34,0,0,0,64,32,43,35
352,721,5655,9004,14208,5961,401,1739,3824,5228,5381,2562,26,64,8,5,9930,31,33,1,0,0,3,12,40,11,54,12,5016,38,73,18,4,2,6,42,91,108,46,7,6,45,0,47,6,10,0,62,34,54,36
97,250,2228,2948,4217,1606,38,299,2135,1976,1823,436,22,51,6,8,3231,34,14,1,1,2,4,12,33,1,45,6,1463,19,30,3,1,3,10,29,39,54,30,5,8,25,0,21,15,0,0,49,23,39,37
34,79,1400,1797,1778,266,59,385,1792,2419,2170,572,13,57,6,9,1783,47,12,0,0,0,7,23,29,3,51,4,1330,22,25,3,1,2,12,30,57,37,27,3,16,14,0,27,0,0,0,58,23,36,38
26,199,1131,1392,2829,640,42,711,1730,1682,2095,715,23,48,13,6,1808,27,19,1,0,1,3,10,33,2,41,4,1162,21,34,5,1,2,11,15,47,59,29,2,8,25,0,28,2,0,0,47,20,33,39
97,545,3020,4390,7072,1732,34,631,2236,2705,2500,609,36,85,16,9,4793,39,41,6,1,0,3,25,56,4,74,8,2573,25,72,18,5,2,13,54,88,91,56,6,12,44,0,57,0,2,0,82,43,64,40
80,75,811,1048,1321,237,66,664,1437,1846,1603,363,17,34,6,5,1238,23,11,0,0,0,2,12,18,3,29,2,1092,21,23,4,1,1,8,36,44,45,18,1,10,15,1,18,0,0,0,34,15,25,41
35,216,1898,1718,3052,767,23,491,1005,935,934,230,21,50,10,3,3014,33,19,0,1,0,3,10,34,9,44,4,1104,14,22,3,1,1,4,20,44,55,26,2,22,23,0,37,1,1,0,51,28,44,42
3,39,312,477,1014,205,8,229,461,528,513,91,5,25,1,0,1163,7,13,4,1,0,0,5,20,0,24,4,403,3,4,7,3,0,0,4,12,18,14,0,6,19,0,18,0,3,0,23,18,16,43
86,164,1745,2988,5455,1657,102,538,2518,3627,3380,867,18,40,4,1,3099,11,23,6,0,0,0,7,30,3,38,6,1761,11,39,16,0,0,5,21,48,33,29,5,3,33,1,26,5,6,0,34,26,32,44
22,342,2099,1783,4724,1293,101,1055,3003,2955,4040,992,10,35,3,0,3444,11,16,7,3,0,1,7,28,3,33,4,1985,10,36,11,1,1,3,21,34,36,24,1,6,23,1,26,0,4,0,29,25,29,45
30,20,444,780,1065,285,35,247,708,691,774,348,13,54,10,3,764,33,17,1,0,0,9,18,28,6,48,0,461,16,17,0,1,3,6,29,17,12,25,5,14,10,0,16,0,0,0,56,19,30,46
24,58,544,918,1569,371,28,591,990,893,960,257,11,34,9,2,1188,24,10,0,0,1,4,8,18,5,26,3,768,17,19,5,0,2,10,13,32,47,24,1,3,10,0,17,0,0,0,32,13,22,47
16,292,2867,3433,4917,1411,30,1021,1986,1880,1701,410,19,50,7,8,4222,26,21,0,0,1,5,8,30,7,41,7,1344,18,34,8,1,0,5,27,42,59,30,3,10,23,0,32,4,0,0,50,23,40,48
47,90,1444,2395,3323,939,34,1398,2395,2735,3039,760,22,49,12,8,2778,20,28,1,0,0,1,17,27,4,46,8,2327,15,54,5,4,4,8,32,75,93,37,2,8,24,0,38,1,1,0,48,32,44,49
10,33,159,173,322,103,31,508,949,816,1094,346,3,14,1,3,295,12,2,0,0,0,0,7,6,2,12,0,373,4,9,2,0,1,4,9,15,11,6,1,5,3,0,7,1,0,0,13,3,8,50
72,210,2900,5077,7516,2470,89,710,3537,5702,5684,1218,26,58,5,2,5689,17,30,7,3,0,2,9,43,5,57,9,3252,12,73,38,6,1,9,43,85,95,39,4,12,43,13,31,6,11,2,50,37,49,51
63,297,1718,2944,4007,941,65,572,1761,2268,1729,436,40,88,18,10,3755,50,36,0,0,1,4,30,48,8,80,4,1718,17,65,13,1,3,18,35,70,66,55,3,20,46,1,54,0,0,0,87,48,73,52
59,116,2133,3103,5385,1515,69,1035,2362,2309,2457,593,22,54,5,1,3972,10,40,4,0,0,0,8,38,9,50,8,2203,11,65,16,1,1,5,23,49,97,38,4,9,40,2,41,3,2,0,50,43,46,53
45,130,1297,1585,2826,767,33,395,1224,1232,2127,554,26,52,8,2,2298,28,23,0,0,0,2,17,33,5,43,6,1108,13,29,4,0,2,8,15,34,60,31,4,9,25,0,37,0,0,0,48,29,40,54
127,505,4314,5428,5187,1622,99,1984,5230,5461,5405,1112,34,67,18,5,4224,39,26,1,0,0,0,16,47,5,60,5,3436,19,61,21,4,2,16,60,101,103,48,6,11,48,0,46,0,0,0,65,34,58,55
68,41,381,438,871,238,11,168,576,586,582,178,5,23,2,2,510,10,14,0,0,0,4,6,12,3,20,0,635,11,17,5,2,1,6,17,21,45,11,2,2,13,0,11,0,0,0,22,12,14,56
5,79,217,304,560,217,11,627,780,740,834,184,4,8,1,0,396,2,6,0,0,0,0,3,3,2,8,1,482,1,13,2,0,0,1,4,13,23,7,0,1,7,0,6,1,0,0,8,5,7,57
41,105,1298,1694,2953,806,27,347,1675,1725,1631,417,17,38,5,5,1546,22,14,0,0,0,2,12,23,3,35,3,905,12,27,4,0,2,5,19,34,32,25,3,6,23,0,23,0,0,0,37,18,29,58
11,162,1232,1559,2665,588,16,344,1044,1163,996,267,17,39,5,1,2418,12,23,3,1,0,0,10,27,2,33,3,882,7,24,10,4,1,2,14,39,46,29,0,7,30,0,27,4,1,0,36,28,29,59
67,300,3673,4204,5471,1560,196,884,2355,2733,2812,1167,31,67,16,6,6004,48,20,0,0,1,5,12,41,11,59,13,2688,27,48,6,1,3,11,34,61,56,51,0,11,29,0,50,4,1,0,68,33,51,60
9,48,1007,1603,2308,485,34,331,1915,3229,3090,663,17,39,6,2,1656,16,22,1,0,0,4,13,21,3,38,1,1442,12,50,22,3,1,13,37,50,37,29,5,0,19,0,24,1,0,0,34,21,29,61
15,19,102,126,221,64,24,97,359,563,339,145,1,14,1,3,220,10,3,0,0,0,2,2,7,4,12,0,289,4,8,4,0,2,2,9,17,10,3,1,3,4,0,5,0,0,0,13,4,8,62
10,24,438,487,775,174,3,114,410,421,374,67,8,21,2,2,749,6,14,0,0,0,3,9,12,1,20,0,448,7,19,3,0,1,5,13,26,20,14,3,2,13,0,10,0,0,0,19,11,13,63
29,952,3232,2983,2339,487,434,8609,13326,12190,13448,6103,14,75,5,2,3010,36,34,1,1,0,12,30,30,5,42,2,2960,5,17,3,0,6,8,19,34,34,38,12,9,13,7,21,2,0,0,66,29,54,64
44,62,836,1381,1369,405,36,471,1018,963,899,270,9,53,11,2,1385,37,17,0,0,1,7,15,28,6,44,4,814,20,19,1,0,1,7,19,28,27,19,5,14,17,0,27,0,0,0,54,18,32,65
43,84,897,1561,1911,472,133,452,858,872,979,648,13,42,5,4,2681,31,13,1,0,0,5,6,28,7,36,9,1198,16,21,2,0,0,3,17,30,38,24,2,10,12,0,29,3,1,0,41,24,33,66
2,20,162,254,411,72,16,172,275,365,308,53,2,13,2,3,269,8,4,0,0,0,3,4,6,0,9,0,273,3,12,1,0,0,1,8,15,18,7,2,3,7,0,6,0,0,0,12,3,7,67
240,759,4333,3818,5804,2419,308,2401,4084,4310,6936,1544,17,57,11,4,4288,26,27,2,0,0,2,12,33,10,49,7,3039,33,48,5,2,3,13,36,64,87,25,5,18,26,0,41,0,2,0,51,32,40,68
29,14,443,606,889,296,17,37,186,257,261,116,9,39,9,2,961,27,13,1,0,0,4,7,27,5,34,3,504,15,16,3,1,0,6,10,20,22,16,2,13,4,0,19,1,0,0,38,19,26,69
10,24,346,561,865,188,31,505,1187,1292,825,216,6,26,6,2,492,10,15,0,0,0,4,9,13,3,25,0,452,6,15,2,0,0,7,13,18,17,17,1,1,13,0,14,0,0,0,26,13,15,70
40,53,1065,2167,3191,1068,92,419,1367,1872,2149,413,20,44,10,3,2558,23,20,1,0,0,2,9,28,6,43,5,1166,16,26,5,0,2,10,24,45,31,22,0,18,15,0,31,0,0,0,43,30,36,71
19,23,93,237,509,191,12,79,188,132,178,35,2,6,0,1,192,3,4,0,0,0,0,3,4,1,6,0,216,3,5,2,0,0,0,7,9,14,2,1,3,5,0,5,0,0,0,7,3,5,72
183,877,5981,7053,12958,4349,51,2112,3259,2994,4519,521,21,47,5,1,7760,12,30,5,1,0,0,6,35,7,43,7,2701,9,25,18,4,1,1,12,48,61,36,2,8,37,1,39,1,16,0,41,32,40,73
63,169,1300,1656,1908,384,89,385,942,1293,1167,389,12,34,5,3,1774,21,12,0,0,0,3,10,21,3,32,1,987,13,26,9,1,2,8,20,38,39,25,2,2,19,0,18,1,0,0,35,11,30,74
35,70,1089,1601,2359,442,131,459,1158,961,1049,569,26,70,17,4,2348,39,29,1,1,0,4,24,40,11,56,7,1155,27,32,3,0,2,12,25,52,64,39,1,17,29,1,34,14,0,0,71,37,50,75
138,260,2238,3119,3999,1004,91,515,1749,2402,1839,594,30,80,14,12,3260,55,25,1,0,0,4,27,42,11,69,4,1588,34,38,5,1,1,15,32,62,55,45,2,23,24,0,49,0,0,0,78,34,63,76
161,144,2396,3633,4674,1240,57,394,1472,1906,2194,607,27,69,19,6,4493,45,26,0,0,0,4,14,45,11,66,5,1993,35,43,5,2,3,7,29,57,79,44,1,18,16,1,51,0,0,0,71,36,58,77
53,149,1762,3267,5327,1534,51,669,3643,5399,5720,1576,23,68,9,9,3251,34,29,2,0,0,5,19,40,6,61,0,2679,22,71,21,1,3,11,48,79,70,39,6,7,36,0,39,3,0,0,62,29,48,78
144,195,2905,4049,7937,2614,190,1569,3565,3526,3511,1118,22,61,12,5,4861,24,36,1,0,0,2,14,40,5,49,11,2826,29,45,7,2,1,5,19,58,72,38,1,12,29,0,42,1,3,1,60,33,46,79
