Food Truck Num,Food Truck Review,0am Food Truck Checkin,4am Food Truck Checkin,8am Food Truck Checkin,12pm Food Truck Checkin,4pm Food Truck Checkin,8pm Food Truck Checkin,0am Food Checkin,4am Food Checkin,8am Food Checkin,12pm Food Checkin,4pm Food Checkin,8pm Food Checkin,0am No Food Checkin,4am No Food Checkin,8am No Food Checkin,12pm No Food Checkin,4pm No Food Checkin,8pm No Food Checkin,Cater,Credit Card,Delivery,Drive-thru,Food Review,Food: 1 Price,Food: 2 Price,Food: 3 Price,Food: 4 Price ,Food: 1 Star,Food: 2 Star,Food: 3 Star,Food: 4 Star,Food: 5 Star,Good for Groups,Good for Kids,No Food Review,No Food: 1 Price,No Food: 2 Price,No Food: 3 Price,No Food: 4 Price,No Food: 1 Star,No Food: 2 Star,No Food: 3 Star,No Food: 4 Star,No Food: 5 Star,Noise: Average,Noise: Loud,Noise: Quiet,Outdoor Seating,Parking: Garage,Parking: Lot,Parking: Street,Parking: Valet,Parking: Validated,Takeout,Waiter Service,Wi-Fi
2,51,0,1,61,141,61,8,13,89,565,829,1640,413,8,326,629,614,795,188,10,26,3,2,910,12,11,0,0,1,3,7,15,1,24,1,552,9,19,1,1,0,4,8,25,19,15,1,5,10,0,16,0,0,0,25,13,18
1,22,1,0,19,43,17,9,9,43,368,526,786,179,20,73,341,347,426,106,3,14,3,2,828,10,6,0,0,0,2,1,10,4,14,0,471,6,15,2,0,2,3,14,13,28,9,0,4,5,0,9,0,0,0,16,7,13
1,7,0,0,6,6,4,0,7,6,233,312,524,124,0,44,179,212,174,24,4,9,0,1,391,4,5,0,0,0,1,3,5,0,9,0,181,2,7,2,0,1,2,6,9,7,6,2,0,5,0,4,0,0,0,9,3,5
4,266,0,49,420,399,243,48,15,57,1484,3108,5029,1446,59,170,1834,4240,3561,800,14,32,0,2,2364,10,22,1,0,0,0,11,21,2,30,7,1317,5,54,28,3,0,9,35,56,23,24,4,0,21,0,28,0,0,0,32,20,26
2,51,0,1,61,141,61,8,13,99,551,761,1577,412,7,165,466,512,647,172,11,26,2,2,878,12,11,0,0,0,3,7,15,1,23,1,512,7,19,1,1,0,3,6,24,19,14,1,6,11,0,16,0,0,0,23,14,18
1,7,0,0,6,6,4,0,9,6,251,361,573,140,0,45,177,202,169,25,5,12,0,1,429,4,6,0,0,0,1,5,6,0,10,0,195,2,7,2,0,1,3,6,10,6,7,2,0,6,0,5,0,0,0,10,4,6
4,266,0,49,420,399,243,48,15,57,1484,3108,5029,1446,60,173,1865,4291,3611,805,14,32,0,2,2364,10,22,1,0,0,0,11,21,2,30,7,1348,5,55,28,3,0,9,36,58,24,24,4,0,21,0,28,0,0,0,32,20,26
1,15,0,0,43,24,6,0,7,1,70,320,937,226,0,18,93,57,95,13,2,5,0,0,471,0,4,1,0,0,0,0,5,0,5,0,79,2,1,0,0,0,1,1,8,3,4,0,1,5,0,5,0,0,0,4,3,4
1,96,1,2,119,151,88,20,19,39,1183,1782,3011,888,26,463,1049,1687,2059,387,10,29,3,2,1838,14,15,1,0,0,0,8,19,4,26,4,848,9,28,10,4,0,8,22,28,32,18,3,4,18,0,24,1,0,0,29,15,26
4,108,0,0,71,69,87,16,84,228,1915,2382,3337,1367,10,28,378,588,567,163,16,33,2,2,2479,18,12,1,1,2,1,9,21,1,29,4,696,8,10,2,0,1,4,10,19,29,23,4,4,19,0,13,15,0,0,31,17,29
4,108,0,0,71,69,87,16,84,228,1915,2382,3337,1367,10,28,378,588,567,163,16,33,2,2,2479,18,12,1,1,2,1,9,21,1,29,4,696,8,10,2,0,1,4,10,19,29,23,4,4,19,0,13,15,0,0,31,17,29
1,7,0,0,3,0,1,0,1,27,264,108,52,8,0,16,125,121,147,26,1,2,0,0,118,1,1,0,0,0,0,0,3,0,2,1,97,0,1,1,0,0,1,2,3,3,2,0,0,2,0,1,0,0,0,2,1,1
2,14,0,1,7,4,26,4,8,216,2262,2424,3445,1045,13,494,772,455,468,135,11,22,1,3,3035,9,13,0,0,0,1,5,13,3,14,7,787,12,12,3,0,1,1,9,23,41,16,1,4,15,0,16,4,0,0,22,14,20
1,84,0,2,95,145,169,27,17,6,153,315,399,92,12,93,394,551,846,373,3,5,1,0,266,3,2,0,0,0,0,2,4,0,5,0,379,3,13,6,0,1,4,6,17,14,5,0,0,2,0,3,0,0,0,5,2,4
3,81,1,1,65,149,74,11,53,226,1059,1955,2627,673,43,342,939,1229,972,238,21,39,6,4,2005,20,19,0,0,0,0,16,20,3,39,3,772,8,31,9,0,0,9,15,35,22,27,3,5,27,0,28,0,0,0,39,21,31
1,31,0,1,4,12,23,3,19,25,343,318,452,176,10,386,864,814,1479,283,4,11,3,0,491,4,5,1,0,0,0,2,7,3,8,0,424,5,17,2,1,1,1,9,10,15,4,1,3,6,0,7,0,0,0,10,4,8
4,85,2,15,117,147,68,13,26,222,907,1506,1927,411,43,259,812,909,702,201,16,31,4,3,1699,18,13,0,0,0,0,10,17,4,30,2,520,4,24,2,0,1,4,11,20,23,23,1,3,19,0,22,0,0,0,31,15,25
2,14,0,1,7,4,26,4,5,179,1834,1928,2866,926,5,321,588,302,324,99,7,10,1,0,2348,3,7,0,0,0,0,1,6,3,7,3,415,6,12,2,0,1,0,4,10,26,8,1,1,8,0,7,4,0,0,10,8,10
1,18,0,1,41,129,39,0,3,69,103,99,68,22,10,147,475,185,175,124,0,4,1,1,58,3,1,0,0,0,0,3,2,0,4,0,283,4,4,1,1,1,2,6,6,21,2,0,1,0,0,1,0,0,0,4,1,1
3,86,1,0,76,190,100,7,18,24,486,1164,2085,531,9,143,706,1095,1126,426,8,23,2,3,1112,12,12,0,0,0,0,7,15,2,23,3,728,11,19,4,0,2,6,16,21,25,17,5,1,10,0,18,1,0,0,24,11,19
3,86,1,0,76,190,100,7,18,24,467,1086,1852,485,8,136,687,1075,1102,412,8,22,2,2,952,11,11,0,0,0,0,7,13,2,21,2,716,10,20,4,0,1,6,15,21,26,16,4,1,10,0,16,1,0,0,22,11,17
1,84,0,2,95,145,169,27,29,21,512,1106,2139,542,16,160,891,1255,1763,660,9,20,2,3,1328,10,10,0,0,0,1,4,15,1,20,0,958,10,24,10,0,2,5,19,31,26,16,2,0,9,0,14,0,0,0,20,12,17
1,13,0,0,1,3,1,1,6,44,334,436,632,159,7,182,361,362,338,74,9,18,7,3,757,12,6,0,0,0,0,7,9,4,17,0,331,4,9,3,0,0,7,6,13,14,11,0,6,11,1,11,0,0,0,18,10,16
1,10,0,0,1,0,4,0,1,1,26,44,31,4,0,136,401,215,474,67,1,3,1,0,52,2,1,0,0,0,0,2,0,1,3,0,126,1,1,0,0,0,1,3,4,5,1,0,1,1,0,2,0,0,0,2,1,2
2,14,0,1,7,4,26,4,8,217,2272,2451,3502,1054,13,489,709,405,459,132,11,23,1,3,3111,9,14,0,0,0,1,5,14,3,15,7,758,13,13,2,0,1,1,7,23,41,17,1,4,15,0,17,4,0,0,23,15,21
1,20,0,0,7,1,28,7,11,36,475,1039,1697,567,13,74,1007,1885,1621,405,9,24,2,5,840,13,9,1,0,0,2,8,13,1,22,0,576,3,14,4,0,0,3,4,13,10,15,1,1,16,0,15,0,0,0,22,9,16
1,39,0,0,1,11,25,6,6,129,662,608,1211,276,26,250,509,583,661,422,12,25,5,2,922,13,10,1,0,0,1,4,18,2,20,1,374,6,12,2,0,1,6,7,21,17,15,0,6,14,0,12,2,0,0,24,9,16
2,8,0,0,2,0,0,2,51,5,160,150,373,108,18,41,154,171,115,60,2,8,2,1,175,3,4,0,0,0,1,3,4,0,5,0,156,1,7,1,0,2,4,8,5,7,3,0,2,3,0,4,0,0,0,7,2,6
1,39,0,0,1,11,25,6,6,132,703,701,1431,319,28,330,677,761,922,442,14,26,7,2,1056,13,11,1,0,0,1,5,19,1,20,2,419,9,14,2,0,1,5,5,30,20,16,0,6,14,0,16,2,0,0,25,12,18
3,43,0,34,127,55,22,3,12,13,165,291,341,113,22,181,426,344,247,125,5,12,3,1,304,8,5,0,0,0,3,3,8,0,11,1,273,2,8,2,0,3,5,10,12,6,6,1,5,6,0,6,0,0,0,12,6,8
0,0,0,0,0,0,0,0,4,13,56,62,91,17,12,53,218,283,71,24,0,6,1,3,71,4,2,0,0,0,0,3,3,0,5,0,33,2,1,1,0,0,0,1,3,2,6,0,0,2,0,2,0,0,0,6,2,3
2,59,0,1,78,147,108,14,6,39,874,1408,2056,416,32,311,1792,2948,2790,589,13,31,5,1,1409,12,19,1,0,0,3,13,14,3,30,1,1217,9,43,20,3,1,10,29,42,25,25,2,0,16,0,20,1,0,0,27,19,23
3,43,0,34,127,55,22,3,12,13,165,291,341,113,22,184,431,350,256,125,5,12,3,1,304,8,5,0,0,0,3,3,8,0,11,1,301,2,8,2,0,3,5,9,12,7,6,1,5,6,0,6,0,0,0,12,6,8
3,43,0,34,127,55,22,3,12,13,165,291,341,113,22,184,434,354,257,125,5,12,3,1,304,8,5,0,0,0,3,3,8,0,11,1,304,2,9,2,0,3,5,10,12,7,6,1,5,6,0,6,0,0,0,12,6,8
1,39,0,0,45,102,42,5,8,51,333,482,991,203,9,329,731,717,973,225,6,11,3,1,473,8,3,0,0,0,2,1,7,1,10,2,485,5,15,3,0,1,8,5,15,23,7,0,1,7,0,7,0,0,0,11,3,9
2,59,0,1,78,147,108,14,4,31,632,1266,1578,337,18,90,1271,2265,2000,318,12,24,1,2,1023,7,16,0,0,0,4,8,11,2,23,0,1058,6,35,21,2,1,11,29,40,21,18,2,0,11,0,14,1,0,0,22,10,17
2,74,0,0,72,97,22,0,30,62,671,976,1461,365,7,18,105,158,156,23,6,23,4,4,1348,17,7,0,0,0,2,5,14,3,21,1,348,11,10,1,1,0,3,9,13,20,8,0,11,4,0,17,0,0,0,22,13,18
2,59,0,1,78,147,108,14,4,38,769,1242,1520,314,31,186,1680,2836,2677,536,11,24,2,2,1031,8,16,0,0,0,3,9,12,2,23,1,1106,7,37,21,3,1,12,31,39,19,19,1,0,11,0,14,1,0,0,22,12,18
2,75,0,4,27,28,28,3,25,18,308,589,717,230,8,47,233,204,182,55,5,15,1,1,666,10,4,0,1,0,1,6,7,2,10,3,243,3,9,2,0,1,2,10,9,11,6,1,4,6,0,6,0,0,0,14,5,10
2,59,0,1,78,147,108,14,4,38,769,1242,1520,314,31,186,1680,2836,2677,536,11,24,2,2,1031,8,16,0,0,0,3,9,12,2,23,1,1106,7,37,21,3,1,12,31,39,19,19,1,0,11,0,14,1,0,0,22,12,18
4,46,0,34,127,55,22,3,2,11,135,255,260,86,22,171,407,313,208,114,5,9,2,0,220,6,3,0,0,0,2,2,6,0,7,1,258,2,7,2,0,3,5,9,11,6,4,1,3,4,0,5,0,0,0,9,3,6
3,110,0,1,107,184,14,6,10,13,390,844,1249,270,25,63,430,714,951,268,6,28,2,2,1340,22,10,0,0,0,3,7,18,4,27,3,1072,17,21,1,0,4,2,13,38,47,18,1,5,21,1,16,10,0,0,31,16,24
3,104,1,2,72,144,69,15,28,68,649,723,509,173,50,146,579,862,863,390,7,19,3,6,630,12,8,0,0,0,2,6,10,2,15,2,803,12,20,3,0,1,7,16,31,16,15,2,2,9,0,12,0,0,0,20,8,16
1,3,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,12,0,20,38,16,1,0,10,100,823,1085,1683,426,22,619,1151,1431,1392,356,9,33,5,5,1454,19,11,0,0,1,4,6,19,4,30,2,737,11,24,6,0,1,4,18,26,26,17,2,7,12,0,19,0,0,0,33,13,23
3,110,0,1,107,184,14,6,22,31,407,724,1084,253,29,64,423,704,957,279,6,30,3,2,1153,22,10,0,0,0,3,8,18,4,27,2,1116,17,25,1,0,4,4,17,39,44,16,2,7,18,1,16,10,0,0,31,17,23
3,104,1,2,72,144,69,15,28,63,564,464,329,170,51,165,750,1163,1071,391,7,19,5,6,598,11,9,0,0,0,2,7,10,1,15,2,880,9,24,2,0,2,6,23,28,12,13,2,4,8,0,11,0,0,0,20,11,16
3,45,0,1,62,89,28,11,34,76,839,1422,2872,708,16,148,795,1366,1179,401,16,39,2,2,1327,15,25,1,0,0,3,21,14,5,37,0,657,12,21,7,0,0,14,16,32,16,25,3,8,20,0,29,1,0,0,39,23,30
3,86,1,0,76,190,100,7,18,24,486,1164,2085,531,9,143,707,1071,1101,418,8,23,2,3,1112,12,12,0,0,0,0,7,15,2,23,3,693,10,18,5,0,2,6,16,22,21,17,5,1,10,0,18,1,0,0,24,11,19
2,10,0,1,4,7,0,0,34,76,823,1377,2818,692,16,165,840,1390,1210,401,15,37,2,2,1287,14,23,1,0,0,3,20,13,4,36,0,650,11,21,7,0,0,13,18,31,16,23,3,7,19,0,28,1,0,0,36,23,28
3,110,0,1,107,184,14,6,9,12,383,824,1199,269,25,65,423,715,941,270,6,28,3,2,1282,22,10,0,0,0,3,7,18,4,27,2,1099,17,23,1,0,4,3,15,37,45,17,2,5,20,1,16,10,0,0,31,16,23
3,110,0,1,107,184,14,6,10,13,390,844,1249,270,25,63,430,714,951,268,6,28,2,2,1340,22,10,0,0,0,3,7,18,4,27,3,1063,17,21,1,0,4,2,13,38,46,18,1,5,21,1,16,10,0,0,31,16,24
3,110,0,1,107,184,14,6,9,12,391,853,1236,272,23,63,421,686,1000,282,5,28,2,2,1333,23,9,0,0,0,3,7,18,4,27,3,1070,17,23,1,0,4,3,14,34,47,18,1,5,21,1,16,9,0,0,31,15,24
3,104,1,2,72,144,69,15,28,63,559,426,289,160,22,81,561,882,769,280,7,16,4,5,568,9,8,0,0,0,2,6,8,1,12,2,646,5,17,0,0,2,6,20,18,10,11,2,3,8,0,9,0,0,0,17,10,15
1,9,0,0,2,16,10,4,80,157,1464,1941,2574,794,74,346,1191,1787,1641,255,13,43,4,4,1976,24,18,0,0,0,1,9,30,3,41,5,926,24,21,7,0,0,7,27,38,17,28,1,7,14,0,28,0,0,0,40,23,32
4,99,2,15,114,157,76,13,55,231,1158,2271,3079,742,49,241,890,1214,959,244,25,52,8,5,2501,28,22,0,0,1,1,21,26,4,47,3,784,6,36,8,0,0,7,23,35,27,34,3,8,33,0,34,0,0,0,52,24,40
1,12,1,0,45,38,26,6,7,28,257,367,496,115,5,149,449,344,312,50,3,13,2,1,328,7,7,0,0,0,3,3,7,2,9,0,199,6,12,0,1,0,3,7,10,12,8,0,2,7,0,6,0,0,0,12,5,9
1,12,1,0,45,38,26,6,9,20,179,277,365,106,12,103,180,149,167,38,2,8,1,0,272,3,5,0,0,0,0,1,6,1,7,0,133,5,2,0,0,0,4,3,4,11,8,0,0,5,0,6,0,0,0,8,5,6
2,42,0,1,62,89,28,11,39,141,894,1472,3007,780,15,83,701,1267,1083,358,16,44,2,3,1339,15,30,1,0,0,3,22,20,3,40,1,596,11,20,6,0,0,12,15,29,19,29,4,6,22,0,31,1,0,0,44,28,33
4,99,2,15,114,157,76,13,41,230,1050,2008,2691,624,40,220,752,1031,784,198,20,40,5,4,2160,22,18,0,0,1,1,14,21,4,37,3,639,6,31,8,0,0,4,22,29,26,27,3,4,26,0,29,0,0,0,41,20,32
4,99,2,15,114,157,76,13,55,231,1154,2267,3071,741,49,242,893,1217,960,244,24,51,8,5,2495,27,22,0,0,1,1,20,26,4,46,3,785,6,36,8,0,0,7,23,34,27,34,3,7,32,0,34,0,0,0,51,24,40
1,59,0,5,185,354,1,1,77,138,1166,1352,2066,577,31,282,812,1115,880,140,15,38,7,4,1515,18,19,1,0,0,2,9,24,3,36,2,735,18,24,5,1,2,8,24,28,25,21,3,7,14,0,23,0,0,0,35,18,30
1,21,0,0,19,25,30,4,5,12,189,250,375,90,26,409,708,743,555,148,3,11,2,1,241,3,8,0,0,0,1,4,6,1,11,0,143,4,11,1,0,0,3,7,9,4,9,1,0,4,0,7,0,0,0,11,5,6
1,59,0,5,185,354,1,1,77,138,1133,1309,1996,572,31,282,812,1115,880,140,14,36,7,3,1477,17,19,0,0,0,2,8,23,3,34,2,735,18,24,5,1,2,8,24,28,25,20,3,6,13,0,22,0,0,0,33,18,29
1,7,0,0,4,1,3,0,0,0,0,0,0,0,0,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0
1,8,0,0,0,3,0,1,0,0,0,0,0,0,12,121,48,21,39,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,1,1,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
1,5,0,0,0,0,0,0,175,14,138,332,760,208,73,259,731,833,726,147,3,11,2,2,407,8,3,0,0,0,2,4,5,0,7,1,543,5,11,1,0,1,1,6,23,32,2,0,3,2,0,4,0,0,0,10,2,4
3,26,0,0,2,14,5,0,6,170,1432,1098,1703,404,12,59,282,341,364,89,9,23,2,2,1786,17,8,0,0,0,1,5,15,6,20,3,435,8,8,1,1,1,5,9,23,23,14,1,8,12,0,18,1,0,0,25,11,22
7,207,0,14,265,378,154,13,100,318,3744,5824,8917,2744,181,1019,4630,6176,6141,1639,27,64,4,6,6425,26,32,5,1,0,2,15,43,7,54,3,3561,20,61,27,3,2,11,30,86,86,39,4,18,39,11,40,2,8,7,58,41,52
12,690,12,107,1177,588,629,76,400,760,7696,9877,14605,5988,398,1477,4399,4811,5186,2816,44,101,19,5,11908,51,49,2,0,0,7,25,61,13,86,13,4491,33,49,8,0,2,7,23,59,109,80,4,9,73,9,56,27,2,1,99,55,84
23,1088,6,142,1580,1008,703,112,1078,749,7722,10654,18900,10235,614,2143,6934,8653,14671,5330,46,127,22,2,15076,53,75,4,0,0,6,37,79,15,110,12,7006,42,64,18,2,13,17,46,98,148,82,19,12,93,35,26,62,11,12,113,82,107
4,261,0,32,429,382,256,18,44,117,1303,2036,3338,791,127,644,2575,4378,3972,615,20,40,2,5,2295,20,18,1,0,0,3,14,21,3,36,3,1947,15,57,14,4,2,10,28,69,49,30,2,4,24,0,31,0,0,0,39,21,33
0,0,0,0,0,0,0,0,2,16,269,254,144,13,9,80,144,131,171,49,4,5,3,0,201,4,1,0,0,0,0,1,2,2,5,0,279,0,8,2,0,1,0,8,9,18,3,0,2,3,0,4,0,0,0,5,2,4
24,1155,13,207,1746,1106,703,100,1089,781,7877,11334,20258,10642,543,2462,7912,9673,15485,5153,50,132,23,5,15798,53,79,4,0,0,8,36,82,15,114,13,7549,41,73,18,0,15,16,50,108,166,83,18,15,96,36,33,61,11,12,116,81,111
2,101,0,0,86,131,28,2,200,913,3835,4603,8370,3273,91,1048,1797,1630,3176,739,17,39,6,3,5928,18,19,1,0,0,2,5,21,11,34,11,1757,13,29,8,1,1,1,13,36,67,28,2,5,20,0,34,2,6,0,37,18,33
2,75,0,4,27,28,28,3,0,48,276,216,154,27,10,149,337,337,323,83,5,11,3,0,297,11,0,0,1,0,2,3,5,2,9,2,221,3,10,0,1,1,1,4,13,9,8,1,2,3,0,5,0,0,0,10,3,7
22,1053,6,142,1568,999,682,104,922,565,6492,9132,16514,8842,458,1886,6155,7744,13476,4305,40,116,19,1,13206,50,66,4,0,0,6,33,71,14,101,10,5903,28,56,14,2,12,16,40,90,121,71,19,12,84,35,18,55,11,12,101,73,95
3,139,0,64,282,172,29,2,176,1000,5250,6499,12239,4202,90,1594,2403,1967,4033,835,26,50,8,2,7975,17,30,3,0,0,1,4,34,12,45,12,2056,15,30,13,3,1,1,15,46,62,38,2,7,33,0,42,3,10,0,47,27,43
7,284,4,13,281,240,88,23,343,700,5456,8512,13894,5875,397,1618,3372,4767,5110,2397,22,53,6,3,9446,24,29,1,0,0,1,10,34,10,47,11,4452,31,67,16,4,2,4,29,77,96,37,7,6,39,0,41,6,10,0,52,31,46
3,56,0,0,36,45,12,1,29,24,456,480,829,275,28,417,1193,1109,901,228,10,31,5,1,838,21,9,1,0,1,3,6,19,3,23,4,957,20,15,2,1,2,2,21,32,45,19,1,3,8,0,18,0,0,0,30,17,21
4,60,0,19,107,117,53,7,61,67,1489,2638,4459,1275,46,238,1070,1361,1132,426,11,46,4,7,2481,22,20,0,0,0,0,19,25,3,40,6,1069,12,35,5,1,3,12,33,27,32,31,3,2,15,0,28,1,0,0,42,19,27
1,4,0,0,2,2,0,0,12,31,479,487,166,20,6,46,65,52,40,15,4,9,3,1,380,7,1,0,0,0,0,3,3,3,7,0,362,2,4,0,0,1,3,4,8,15,6,0,1,3,0,7,2,0,0,8,4,7
1,12,0,0,0,0,0,0,23,24,754,1088,1283,216,11,92,686,856,427,84,7,24,4,5,1288,20,3,1,0,0,1,10,11,4,20,1,479,10,8,1,0,1,5,9,16,15,16,0,6,6,0,15,0,0,0,23,7,18
23,1088,6,142,1580,1008,703,112,1072,743,7580,10538,18644,10094,606,2128,6893,8623,14641,5329,46,125,23,2,14847,52,74,4,0,0,6,37,80,12,109,11,6959,44,64,17,2,13,16,48,95,148,80,19,12,92,35,24,60,11,12,111,81,104
1,12,0,0,0,0,0,0,6,6,94,266,569,137,4,76,238,327,134,33,4,14,4,0,431,9,3,0,0,0,3,3,6,2,11,2,321,6,10,0,2,2,1,2,18,17,7,1,4,4,0,8,0,0,0,13,9,11
3,16,0,19,23,36,1,0,1,7,44,86,121,30,2,275,334,215,179,58,1,9,5,2,154,6,2,0,0,0,0,2,8,0,7,0,407,6,3,1,0,2,3,11,13,22,2,0,5,1,0,5,0,0,0,9,3,4
2,20,0,0,0,0,0,0,5,40,134,99,83,23,7,18,164,187,132,25,1,13,1,2,177,9,4,0,0,0,3,6,5,0,10,1,253,5,5,0,0,1,3,9,11,11,7,1,2,3,0,4,0,0,0,13,7,7
0,0,0,0,0,0,0,0,13,50,187,176,205,46,49,359,582,675,612,185,2,15,1,0,207,4,10,0,0,0,7,4,5,2,7,0,709,4,5,0,0,5,9,8,8,10,8,1,3,0,1,3,0,0,0,13,8,10
2,19,0,0,5,9,0,1,0,1,27,18,7,2,5,20,60,41,30,12,1,1,1,0,8,1,0,0,0,0,0,1,0,1,1,0,41,3,1,0,0,0,1,2,3,2,1,0,1,0,0,0,0,0,0,1,0,0
6,143,0,10,163,222,87,3,174,287,4073,6905,11646,3811,142,1246,5544,7034,7053,1683,26,64,4,3,8301,18,35,7,3,0,2,10,48,6,58,2,3982,18,63,33,5,4,11,32,79,84,41,4,15,45,12,41,2,11,7,55,46,50
3,56,0,0,36,45,12,1,28,20,417,547,874,282,22,362,1050,996,919,244,11,32,5,1,918,22,10,0,0,1,4,6,19,3,24,4,833,22,15,2,1,3,1,14,32,35,21,1,3,9,0,19,0,0,0,31,17,23
1,46,0,0,43,129,57,22,99,73,1199,1983,3125,1084,28,1002,1411,2078,1971,590,13,28,2,1,1623,14,14,0,0,0,0,10,17,1,27,0,837,7,26,9,0,1,5,13,21,28,19,3,4,19,0,21,1,0,0,28,11,24
8,228,0,99,473,383,168,18,110,315,4195,7218,11233,3435,202,1264,6000,7867,7893,2027,32,68,4,5,7360,29,33,4,2,0,2,13,48,8,63,4,4412,20,73,33,5,4,9,41,83,88,43,4,18,44,11,44,2,8,7,62,43,53
0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,258,417,218,472,141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,1,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0
2,33,0,1,36,73,34,8,14,30,599,921,1533,387,7,306,737,791,669,134,6,21,4,3,1302,9,13,0,0,0,1,8,12,1,17,2,817,10,21,5,2,0,4,14,27,39,13,1,4,8,0,12,0,0,0,21,10,15
2,74,0,0,72,97,22,0,23,49,407,513,793,199,1,14,73,95,111,11,5,16,2,2,649,12,5,0,0,0,2,4,11,0,15,1,309,10,6,1,1,0,2,4,9,21,7,0,7,4,0,10,0,0,0,15,8,13
4,261,0,32,429,382,256,18,44,117,1303,2036,3338,791,124,776,2327,3971,3410,559,20,40,2,5,2295,20,18,1,0,0,3,14,21,3,36,3,1749,15,53,13,3,1,9,27,65,43,30,2,4,24,0,31,0,0,0,39,21,33
