0am Food Checkin,4am Food Checkin,8am Food Checkin,12pm Food Checkin,4pm Food Checkin,8pm Food Checkin,0am Food Truck Checkin,4am Food Truck Checkin,8am Food Truck Checkin,12pm Food Truck Checkin,4pm Food Truck Checkin,8pm Food Truck Checkin,0am No Food Checkin,4am No Food Checkin,8am No Food Checkin,12pm No Food Checkin,4pm No Food Checkin,8pm No Food Checkin,Cater,Credit Card,Delivery,Drive-thru,Food Review,Food Truck Num,Food Truck Review,Food: 1 Price,Food: 2 Price,Food: 3 Price,Food: 4 Price ,Food: 1 Star,Food: 2 Star,Food: 3 Star,Food: 4 Star,Food: 5 Star,Good for Groups,Good for Kids,No Food Review,No Food: 1 Price,No Food: 2 Price,No Food: 3 Price,No Food: 4 Price,No Food: 1 Star,No Food: 2 Star,No Food: 3 Star,No Food: 4 Star,No Food: 5 Star,Noise: Average,Noise: Loud,Noise: Quiet,Outdoor Seating,Parking: Garage,Parking: Lot,Parking: Street,Parking: Valet,Parking: Validated,Reservation,Takeout,Waiter Service,Wi-Fi
85,128,1660,2147,3593,893,0,20,115,43,30,4,63,1228,2891,3139,3228,739,28,76,20,10,2663,3,38,43,31,1,0,1,4,23,43,7,63,4,1740,26,42,9,0,0,11,32,46,55,45,6,17,33,0,48,0,0,0,0,73,36,58
12,43,496,783,1237,257,0,0,19,25,30,4,33,517,1262,1456,999,255,7,36,6,5,706,1,21,17,18,0,0,0,7,12,17,3,32,0,511,8,25,1,0,0,7,20,26,18,23,3,3,19,0,19,0,0,0,0,35,14,19
78,83,750,1005,1171,405,0,38,154,83,50,6,36,333,848,788,631,245,13,35,9,2,1152,6,121,27,7,0,1,0,5,11,19,3,26,6,668,6,29,2,1,4,7,22,27,25,16,3,9,12,0,18,0,0,0,0,33,14,22
15,61,646,830,1444,346,1,0,45,39,28,6,8,421,724,709,522,93,10,32,5,1,945,2,15,11,19,2,0,0,6,9,16,4,25,1,402,7,18,3,1,2,4,11,27,22,18,2,5,22,0,14,0,0,0,0,28,18,23
117,102,1810,2674,3640,1023,0,0,0,0,0,0,229,442,1735,2622,3428,1090,19,58,5,7,2611,0,0,40,18,0,0,0,3,13,35,10,54,3,1776,24,28,5,1,2,6,28,52,50,32,2,11,19,0,38,0,2,0,0,54,29,36
2,16,203,277,392,71,0,0,0,0,0,0,2,51,190,329,395,68,3,13,0,0,496,0,0,5,8,0,0,0,0,4,9,0,12,2,171,2,5,7,1,0,0,4,11,11,7,0,3,9,0,9,0,0,0,0,13,8,7
170,266,2310,3669,4509,1298,0,45,194,309,117,21,157,1249,4118,5584,5853,1985,35,73,13,4,3880,4,174,41,31,0,0,0,4,22,45,3,65,15,4218,35,79,8,3,4,16,41,106,103,45,0,21,36,0,54,0,0,0,0,74,29,59
24,192,1034,1142,2465,570,0,0,45,102,42,5,35,565,1516,1438,1772,392,17,39,11,5,1489,1,39,24,13,1,0,1,3,8,26,2,33,3,993,16,31,4,1,1,7,12,40,49,23,2,6,18,0,23,1,0,0,0,38,16,26
169,710,4397,6676,10336,2741,0,44,189,238,111,12,151,934,3505,4653,4352,1439,51,125,20,11,7041,4,109,56,61,7,2,0,8,35,79,7,109,8,3877,35,102,29,6,2,21,77,128,121,80,10,20,67,2,80,0,2,0,0,116,59,95
1403,411,6799,10170,12863,6625,7,12,250,426,175,23,628,2218,5520,6622,8262,4181,41,122,24,7,11258,8,210,70,52,1,0,0,4,35,80,7,100,25,5505,33,71,12,1,7,19,37,75,103,69,14,22,90,15,52,43,2,2,0,119,55,90
470,1151,7043,6971,11586,4179,1,121,963,968,800,118,353,4592,7238,6636,10542,2154,29,81,14,7,7035,5,523,40,37,2,0,0,3,19,51,10,73,13,4123,50,73,7,2,5,16,57,96,121,40,5,22,42,0,57,1,1,0,0,77,43,54
268,1285,8313,10038,17236,5821,2,70,371,269,97,10,201,3228,6417,6353,9051,1771,44,103,17,8,11234,7,202,53,47,6,1,0,6,20,65,18,90,16,4824,38,66,21,5,1,8,46,98,117,72,4,18,58,1,82,3,16,0,0,99,50,83
51,156,1095,1776,3475,882,0,1,62,89,28,11,31,359,1456,2045,1960,550,20,57,5,4,1802,3,45,23,34,2,0,0,3,29,23,6,52,0,1046,18,30,7,0,0,17,28,46,34,36,5,11,26,1,40,1,0,0,0,55,34,44
59,53,715,1227,1593,411,0,1,127,220,35,12,43,108,804,1446,1492,529,10,54,6,7,1798,4,145,44,13,0,0,0,6,16,31,6,49,4,1901,31,32,4,0,6,9,32,65,82,29,5,10,27,1,31,11,0,0,0,55,29,38
31,55,841,1161,1758,309,0,0,0,0,0,0,104,138,557,799,781,382,19,57,16,3,1885,0,0,37,21,1,1,0,6,15,38,8,49,7,1032,18,27,3,1,2,11,21,46,52,30,2,15,24,1,22,14,0,0,0,59,30,43
9,17,95,190,480,106,0,0,0,0,0,0,2,80,335,314,293,65,3,9,3,0,291,0,0,5,5,0,0,0,3,2,7,1,8,0,299,8,8,3,2,0,3,8,16,19,7,0,2,5,0,6,0,0,0,0,9,6,6
87,139,2816,5153,7631,2281,1,87,647,571,336,69,74,840,3609,6681,6014,1200,26,62,4,5,4190,6,389,30,31,1,0,0,2,14,45,3,57,12,2614,13,82,31,4,4,17,56,102,66,50,4,2,38,0,47,1,0,0,0,62,31,51
35,230,1715,1670,3196,907,0,0,2,14,5,0,45,436,1321,1181,1207,303,16,40,6,2,2964,3,26,22,19,1,1,0,1,12,26,6,36,5,1458,18,21,2,1,1,6,19,47,54,24,1,14,25,0,32,1,1,0,0,41,25,36
4,13,56,62,91,17,0,0,0,0,0,0,12,62,228,288,75,26,0,6,1,3,71,0,0,4,2,0,0,0,0,3,3,0,5,0,45,3,1,1,0,0,0,3,3,4,6,0,0,2,0,2,0,0,0,0,6,2,3
78,142,1731,2921,5064,1272,2,145,650,523,315,25,220,1139,3725,6071,5815,1029,32,63,8,6,3460,8,352,30,31,1,0,0,3,24,32,5,57,6,2958,31,80,18,6,2,12,49,101,86,44,3,11,38,0,44,0,0,0,0,62,31,48
51,63,400,550,869,203,0,0,4,4,3,1,80,295,609,877,704,271,8,18,1,2,505,2,15,10,7,0,0,0,0,5,12,2,17,0,478,8,11,6,0,2,3,12,20,21,13,2,1,9,0,9,0,0,0,0,18,6,15
43,41,622,873,1043,308,0,1,2,3,1,1,41,167,572,504,460,291,15,68,9,6,791,1,3,46,17,1,0,0,11,25,30,8,60,0,436,15,18,2,1,5,13,27,13,14,29,7,15,11,0,18,0,0,0,0,69,32,37
7,104,877,613,776,159,0,0,0,0,0,0,13,139,535,529,452,105,10,34,6,3,1034,0,0,20,12,0,0,1,4,11,17,3,30,2,664,10,19,4,0,1,3,13,19,42,18,0,11,5,0,17,0,0,0,0,33,21,24
21,57,716,1069,1027,189,2,7,128,146,118,34,138,613,1075,1235,1395,622,9,41,2,3,1360,2,158,22,21,0,0,0,8,4,27,10,31,9,1532,8,14,2,1,6,14,26,29,33,27,2,6,4,1,19,2,0,0,0,39,22,30
104,354,3120,4345,4194,1327,0,64,239,126,34,7,97,1630,4801,5507,4308,726,28,54,15,5,3307,6,100,34,18,2,0,0,0,13,37,4,50,4,2984,15,56,20,3,2,14,47,75,107,39,3,12,39,0,35,0,0,0,0,52,27,46
42,108,1336,1738,3049,837,0,0,25,29,31,3,27,347,1674,1726,1635,429,17,41,5,6,1605,3,33,24,15,0,0,0,2,14,24,3,37,3,931,12,28,4,0,2,5,21,34,31,27,3,6,24,0,24,0,0,0,0,40,19,31
0,1,9,14,6,1,0,0,0,0,0,0,4,8,106,89,61,9,0,1,0,0,15,0,0,0,1,0,0,0,0,1,0,0,1,0,162,0,0,1,0,0,0,0,3,4,1,0,0,1,0,1,0,0,0,0,1,1,1
59,130,1280,1962,3371,885,0,0,1,11,25,6,39,212,799,1398,1446,654,26,55,9,5,2902,1,39,21,34,0,0,0,5,11,38,2,52,8,1078,21,28,7,1,1,8,26,49,39,38,4,9,27,0,39,1,0,0,0,52,30,42
35,62,797,956,735,201,0,0,0,0,0,0,56,372,1581,2117,1940,549,11,49,3,7,1138,2,20,39,11,1,0,0,6,17,28,3,43,3,1131,16,20,3,1,1,9,24,43,33,22,3,14,13,0,24,0,0,0,0,50,17,32
119,77,979,1572,2533,631,0,0,64,124,35,5,104,949,2792,2687,2221,616,25,75,12,7,2161,6,109,48,24,1,0,1,9,19,39,9,60,8,2107,43,37,6,2,3,7,46,81,85,44,1,15,23,1,38,0,0,0,0,73,38,54
1,23,109,200,622,134,0,0,0,0,0,0,8,191,331,294,196,40,2,12,1,0,667,0,0,2,5,4,1,0,0,1,11,0,12,2,335,1,2,0,2,0,0,0,3,15,7,0,3,10,0,9,0,3,0,0,10,10,9
31,51,438,686,642,152,0,1,5,9,3,3,33,223,544,539,319,84,10,43,4,8,884,3,24,37,12,0,0,1,4,15,21,12,36,1,692,16,19,1,0,3,9,18,29,35,25,3,11,12,0,19,0,0,0,0,47,20,32
99,250,2206,2926,4282,1633,0,0,71,69,87,16,42,343,2167,2068,1960,470,22,54,9,8,3256,4,108,37,15,1,1,2,4,14,35,2,48,6,1536,21,34,3,1,3,11,29,44,54,31,6,10,25,0,22,15,0,0,0,53,25,43
14,182,802,1010,1479,353,1,1,60,172,56,9,27,210,899,828,899,298,7,30,5,3,1351,2,40,19,12,0,0,0,2,6,20,4,27,1,1077,8,24,3,2,4,5,27,24,57,20,0,5,12,0,21,0,0,0,0,30,17,22
391,283,4449,7662,13077,4516,0,102,457,273,113,17,299,1891,4985,5608,5345,1617,41,86,16,8,8148,6,296,41,44,2,0,0,3,14,61,9,72,16,3916,33,72,15,3,2,9,40,81,99,58,5,13,47,0,61,2,7,1,0,84,40,66
109,98,1475,2275,3494,1186,0,0,48,132,59,22,36,1170,1967,2588,2569,739,18,37,6,2,1983,2,52,18,20,0,0,0,0,14,23,2,36,0,1272,14,38,10,1,1,6,22,38,49,26,3,6,24,0,25,2,0,0,0,37,16,32
68,392,3646,3074,5602,1592,1,9,206,334,118,9,322,2220,5529,6663,9563,2298,14,52,6,4,3793,4,208,22,24,4,4,0,2,12,34,11,48,4,3202,20,52,9,5,5,8,41,48,66,28,4,13,34,4,36,0,7,0,0,44,30,40
1090,989,9916,12744,20535,10590,6,145,1630,1067,746,121,835,2624,8415,10141,16291,6286,65,165,28,4,17254,25,1121,86,83,4,0,0,7,50,101,23,148,17,8695,57,80,19,3,15,28,58,129,182,111,19,19,111,35,51,65,11,12,0,153,96,138
0,56,236,186,191,56,0,0,0,0,0,0,5,88,342,444,385,92,4,14,3,1,292,0,0,9,4,0,0,0,3,3,7,1,12,0,487,0,13,2,0,0,1,6,19,23,8,0,2,7,0,5,0,0,0,0,14,5,10
5,36,226,280,802,203,0,0,0,0,0,0,16,192,621,567,526,95,8,19,7,2,791,0,0,6,12,0,1,0,1,8,10,1,14,3,647,7,17,2,1,0,5,11,17,30,9,0,5,9,0,11,0,0,0,0,19,12,13
18,15,1252,2211,2608,506,0,0,0,0,0,0,20,347,732,923,867,201,12,35,8,5,2344,1,11,26,8,0,0,0,3,8,22,2,28,4,807,11,21,3,1,1,5,18,28,32,21,0,10,9,0,25,1,0,0,0,33,14,24
19,23,95,241,521,191,0,0,0,0,0,0,12,108,234,168,222,40,2,7,1,1,210,0,0,4,4,0,0,0,0,4,4,1,6,0,260,4,6,2,0,0,0,9,11,16,2,1,4,5,0,6,0,0,0,0,8,3,5
44,106,1762,1896,1208,314,0,0,52,43,14,5,12,439,784,755,732,234,12,40,10,1,1772,2,19,20,17,0,1,0,3,15,18,5,33,1,843,14,20,2,0,4,7,17,26,31,18,2,11,19,0,26,1,0,0,0,37,16,30
110,134,2766,4015,6850,2799,4,0,140,167,66,19,243,1123,1909,2468,2737,1316,8,22,1,2,4449,4,124,9,13,0,0,0,1,4,13,4,19,6,2307,16,32,9,4,1,2,15,38,44,16,2,2,16,0,16,3,5,0,0,22,14,18
40,38,373,186,373,166,0,0,0,0,0,0,39,161,244,212,175,61,3,6,2,0,336,0,0,3,3,0,0,0,0,1,4,1,4,0,131,1,4,0,0,0,1,4,4,10,3,1,1,3,0,3,0,0,0,0,6,3,5
87,125,1141,2099,3125,1075,0,36,108,21,5,1,20,448,1485,1915,1661,304,11,31,3,2,2108,1,27,18,13,0,0,0,3,7,23,0,26,7,1226,9,23,3,0,3,8,16,38,39,26,0,4,15,0,20,0,0,0,0,30,16,25
27,86,504,399,615,196,0,0,6,6,8,0,103,78,569,820,1491,432,3,15,4,2,511,1,15,7,7,0,0,0,1,2,9,3,14,0,531,4,11,2,0,1,1,10,14,14,3,3,7,5,0,11,0,2,0,0,13,10,10
13,52,592,723,393,134,0,2,16,11,0,0,66,663,692,889,695,300,7,21,3,2,612,2,17,15,5,1,0,0,1,9,10,1,19,2,946,6,18,3,0,7,5,7,22,18,10,0,8,11,0,14,0,2,0,0,18,7,14
17,83,583,636,322,76,0,0,0,0,0,0,1,48,157,158,109,7,3,6,2,1,286,0,0,5,1,0,0,0,0,2,3,1,6,1,222,1,8,2,0,0,2,8,9,9,6,0,0,5,0,6,0,0,0,0,6,2,4
4,23,536,1142,1414,293,0,1,78,147,108,14,18,79,1174,2081,1840,285,10,21,1,2,867,2,59,6,14,0,0,0,3,8,9,2,20,0,960,6,32,20,2,1,10,27,36,19,16,1,0,9,0,11,1,0,0,0,19,9,15
310,715,4076,4112,9575,4445,0,30,395,365,238,46,235,1808,1859,1968,3101,1611,14,29,2,0,5297,4,76,6,17,6,0,0,0,4,17,8,26,2,2200,7,53,15,4,0,1,7,26,72,20,2,4,27,5,7,24,4,1,0,23,24,26
3,8,50,81,26,15,0,0,0,0,0,0,2,14,94,132,69,4,2,4,0,3,71,0,0,10,0,0,0,0,0,2,5,3,7,1,197,4,0,0,0,2,2,3,10,8,3,1,1,5,0,3,0,0,0,0,8,1,6
1,23,106,200,588,130,0,0,0,0,0,0,7,178,296,258,179,36,2,11,1,0,625,0,0,2,4,4,1,0,0,0,11,0,11,1,296,1,2,0,2,0,0,0,2,13,6,0,3,9,0,8,0,3,0,0,9,9,8
35,74,899,1286,2239,630,0,0,22,29,30,3,22,295,1538,1588,1465,372,11,34,5,5,1109,2,26,21,11,0,0,0,2,14,16,3,31,3,761,10,23,3,0,2,4,17,30,15,23,3,4,18,0,18,0,0,0,0,33,15,25
37,30,500,913,1567,427,0,0,0,0,0,0,42,677,1684,2624,3115,663,8,14,0,2,1081,0,0,6,9,0,0,0,2,1,9,3,12,2,885,0,11,8,3,0,2,11,20,12,7,1,6,12,0,10,0,0,0,0,15,9,13
5,1,203,348,782,101,0,0,0,0,0,0,9,194,599,479,549,77,4,9,4,0,516,0,0,6,2,0,0,1,0,1,6,2,8,1,421,4,8,1,0,0,4,3,8,16,5,1,2,5,0,5,0,0,0,0,9,5,6
85,100,1991,3478,5521,1891,0,0,0,0,0,0,31,211,595,598,556,79,12,34,3,0,4287,0,0,17,14,2,0,0,0,8,19,7,26,4,790,6,13,3,0,1,2,9,13,28,26,1,4,18,1,25,1,0,0,0,33,19,29
48,18,503,942,1325,415,0,27,53,29,8,0,41,87,301,446,612,247,8,26,6,4,1296,2,38,19,9,0,0,0,3,8,15,2,22,3,627,16,21,1,1,0,1,16,19,37,9,0,13,6,0,19,0,0,0,0,26,12,15
13,22,222,307,487,120,0,1,4,10,0,1,14,183,430,387,521,154,5,12,1,0,417,3,18,8,4,0,0,0,1,4,4,3,10,0,319,10,10,1,0,0,5,3,13,16,6,0,4,4,0,8,0,0,0,0,11,5,8
5,36,226,280,802,203,0,0,0,0,0,0,10,138,471,497,439,77,8,19,7,2,791,0,0,6,12,0,1,0,1,8,10,1,14,3,514,7,14,1,1,0,5,10,13,21,9,0,5,9,0,11,0,0,0,0,19,12,13
33,102,1665,3287,6371,2066,0,10,40,55,14,1,91,498,2009,2694,2539,686,10,29,1,0,3965,4,35,3,19,5,2,0,0,6,19,5,27,0,1679,4,26,21,3,2,4,11,42,45,17,2,9,22,12,15,1,10,7,0,20,25,20
9,21,170,132,293,95,0,0,5,3,2,0,3,148,519,442,535,134,3,7,2,1,256,1,6,3,5,0,0,0,0,3,6,0,7,0,321,5,5,1,1,0,1,6,11,13,5,0,2,3,0,2,1,0,0,0,7,4,6
2,64,165,196,420,168,0,0,0,0,0,0,8,443,463,387,510,140,3,6,1,0,236,0,0,2,4,0,0,0,0,2,2,2,6,1,244,0,8,1,0,0,1,2,7,11,6,0,0,5,0,5,1,0,0,0,6,4,5
0,10,258,351,668,125,0,42,159,80,10,3,0,54,218,256,235,86,5,9,3,0,634,1,67,3,6,0,0,0,0,1,8,0,8,1,316,2,8,2,2,0,1,2,7,18,6,0,3,7,0,7,1,0,0,0,8,7,8
20,46,471,1042,1612,464,1,2,37,48,28,4,62,281,1282,2612,2151,607,7,37,4,5,1365,2,30,25,11,0,0,1,4,22,10,2,31,7,1316,10,43,6,3,3,10,23,39,14,20,4,7,7,0,21,0,1,0,0,37,16,25
3,7,72,37,289,94,0,0,0,0,0,0,31,408,850,841,822,166,0,4,0,0,279,0,0,0,1,2,1,0,0,2,2,0,4,0,848,0,0,8,1,0,0,2,9,4,3,0,1,4,0,4,0,2,0,0,2,4,4
26,37,348,738,846,260,0,0,14,36,16,12,51,238,847,1316,1284,456,8,16,2,1,583,1,19,10,6,0,0,0,2,3,10,1,15,1,828,10,17,2,1,0,4,15,23,18,11,0,4,7,0,11,0,0,0,0,16,6,11
6,16,205,528,1086,227,0,87,187,113,42,3,89,239,1124,1536,1658,350,6,12,3,2,686,2,47,5,7,0,0,0,0,4,7,1,12,3,881,7,16,3,2,1,3,12,21,25,8,0,3,9,0,5,0,0,0,0,12,5,8
