Food Truck Num,Food Truck Review,0am Food Truck Checkin,4am Food Truck Checkin,8am Food Truck Checkin,12pm Food Truck Checkin,4pm Food Truck Checkin,8pm Food Truck Checkin,0am Food Checkin,4am Food Checkin,8am Food Checkin,12pm Food Checkin,4pm Food Checkin,8pm Food Checkin,0am No Food Checkin,4am No Food Checkin,8am No Food Checkin,12pm No Food Checkin,4pm No Food Checkin,8pm No Food Checkin,Cater,Credit Card,Delivery,Drive-thru,Food Review,Food: 1 Price,Food: 2 Price,Food: 3 Price,Food: 4 Price ,Food: 1 Star,Food: 2 Star,Food: 3 Star,Food: 4 Star,Food: 5 Star,Good for Groups,Good for Kids,No Food Review,No Food: 1 Price,No Food: 2 Price,No Food: 3 Price,No Food: 4 Price,No Food: 1 Star,No Food: 2 Star,No Food: 3 Star,No Food: 4 Star,No Food: 5 Star,Noise: Average,Noise: Loud,Noise: Quiet,Outdoor Seating,Parking: Garage,Parking: Lot,Parking: Street,Parking: Valet,Parking: Validated,Reservation,Takeout,Waiter Service,Wi-Fi
1,31,0,1,4,12,23,3,9,12,121,234,414,86,18,356,1281,1296,1157,366,4,18,5,1,433,8,7,1,0,0,2,4,10,3,13,1,811,8,23,1,2,2,2,17,28,30,6,1,4,4,0,5,0,0,0,0,15,5,10
4,87,0,62,233,122,33,5,132,583,4526,5728,5738,1837,111,2614,5987,6149,6220,1297,38,74,19,5,4603,41,31,1,0,0,0,19,49,7,67,6,3821,20,72,23,4,2,17,64,113,118,54,6,12,54,0,52,1,0,0,0,72,39,64
1,5,0,0,1,3,0,0,146,79,964,1913,3220,1649,98,369,1851,3059,3961,1037,8,41,6,6,1892,18,22,0,0,0,3,15,23,2,38,0,1310,8,33,9,0,3,4,21,33,19,17,6,8,22,0,23,3,0,0,0,39,21,26
3,45,0,1,62,89,28,11,60,204,1267,1978,3932,1015,41,481,1334,1952,1679,556,24,76,7,4,2157,35,40,2,0,0,3,33,37,8,68,1,1050,20,32,8,0,2,21,29,52,39,44,5,17,33,0,49,2,0,0,0,73,46,56
2,33,1,23,51,30,8,3,27,198,1261,1304,1829,517,54,305,921,1277,1140,608,16,45,9,2,1732,21,23,0,0,0,1,11,28,5,40,1,1037,15,18,2,0,0,6,15,34,30,25,2,13,22,0,28,0,0,0,0,43,25,29
1,3,0,0,0,0,0,0,0,0,14,19,20,5,2,22,126,179,177,65,0,3,1,1,47,2,1,0,0,0,2,1,1,0,2,0,139,1,8,2,1,1,2,3,6,12,2,0,0,2,0,1,0,0,0,0,3,0,3
1,5,0,0,0,0,0,0,175,15,142,345,786,219,106,427,1046,1196,1124,237,3,14,4,2,427,10,4,0,0,0,3,6,5,1,9,1,755,7,14,2,0,1,2,12,34,39,2,0,3,2,0,4,0,0,0,0,14,2,5
2,33,0,0,62,87,51,9,55,332,3025,2362,3411,974,237,1519,3256,4400,6792,1491,10,34,5,3,2315,14,18,1,1,0,0,8,20,9,32,3,1802,14,28,6,4,4,6,26,32,43,19,3,9,25,3,24,0,4,0,0,29,19,27
6,147,1,11,192,281,78,5,1295,399,6794,10162,12321,6005,659,2103,5303,6474,8058,4041,41,126,25,6,11419,74,53,1,0,0,4,38,82,10,103,25,5456,38,64,14,1,7,18,37,77,105,71,13,26,89,15,56,43,2,2,0,122,55,92
1,3,0,0,0,0,0,0,104,98,808,974,1643,534,57,441,1027,795,733,375,13,53,14,6,1317,36,14,0,0,0,3,15,29,7,43,3,609,22,22,2,1,0,6,19,33,30,30,2,12,13,0,36,1,0,0,0,52,26,36
3,26,0,0,2,14,5,0,11,178,1585,1401,2469,633,32,357,1037,915,972,247,14,34,5,2,2494,21,15,0,1,0,1,8,24,6,31,4,1168,18,20,2,1,1,6,18,41,49,21,1,12,20,0,26,1,1,0,0,36,20,30
2,175,1,9,144,247,67,0,23,242,1702,1813,4765,1303,138,1309,3669,3662,5119,1304,8,36,3,1,3389,12,16,7,3,0,3,8,29,2,33,3,2337,12,40,14,1,1,4,25,38,39,24,1,7,24,1,26,0,4,0,0,31,25,28
2,78,0,0,46,113,67,11,27,199,1174,1509,2979,675,42,711,1734,1685,2095,715,24,49,13,6,1886,27,20,1,0,1,3,11,33,2,42,4,1175,20,34,5,1,2,11,16,47,59,30,2,8,25,0,29,2,0,0,0,48,21,34
5,269,0,223,491,332,55,21,33,168,2841,3425,3390,877,268,1011,3177,4341,3930,767,29,56,8,7,3135,37,20,1,0,0,4,18,35,2,52,8,2018,17,39,7,2,4,10,32,56,55,36,3,9,32,0,35,0,0,1,0,55,23,43
9,292,0,103,575,539,235,28,251,421,5517,9271,14506,4641,300,2392,8375,10289,10253,2566,52,111,9,10,11286,48,47,14,3,0,3,21,79,12,96,10,6161,35,105,42,6,5,18,59,129,150,73,5,29,66,12,75,3,15,7,0,101,66,87
0,0,0,0,0,0,0,0,9,17,95,190,480,106,2,80,335,314,293,65,3,9,3,0,291,5,5,0,0,0,3,2,7,1,8,0,299,8,8,3,2,0,3,8,16,19,7,0,2,5,0,6,0,0,0,0,9,6,6
2,26,0,20,115,43,30,4,68,107,1438,1947,3260,804,52,1208,2651,2588,2942,678,23,61,18,7,2366,32,28,0,0,1,4,15,37,5,52,4,1524,22,38,8,0,0,9,28,41,49,36,6,13,30,0,40,0,0,0,0,59,31,49
2,52,0,0,48,132,59,22,108,94,1376,2136,3449,1184,36,1167,1957,2560,2531,732,17,36,5,2,1909,17,20,0,0,0,0,14,23,1,35,0,1226,13,34,10,1,1,6,22,36,44,25,3,6,23,0,24,2,0,0,0,36,16,31
2,104,0,2,102,146,197,34,56,209,2408,4094,5976,1608,45,447,2891,4620,5006,1347,21,61,8,8,4079,34,26,1,0,0,5,17,39,3,59,1,2277,21,57,23,1,2,13,36,63,58,42,5,4,38,0,41,4,0,0,0,59,28,48
2,83,0,42,164,86,24,3,11,162,1232,1559,2665,588,16,344,1044,1163,996,267,17,39,5,1,2418,12,23,3,1,0,0,10,27,2,33,3,882,7,24,10,4,1,2,14,39,46,29,0,7,30,0,27,4,1,0,0,36,28,29
0,0,0,0,0,0,0,0,32,58,567,921,1656,406,36,644,1184,1091,1101,315,11,37,9,3,1245,24,13,0,0,0,4,9,20,5,28,3,796,18,21,5,0,2,10,15,38,38,24,1,3,11,0,20,0,0,0,0,34,15,23
0,0,0,0,0,0,0,0,159,130,1608,2995,4331,1389,27,386,1462,1788,1738,366,21,47,10,3,3290,31,16,0,0,0,4,11,34,1,39,8,1587,13,24,4,0,5,13,29,47,58,32,2,9,18,0,32,0,0,0,0,46,24,36
3,154,0,0,105,293,113,21,263,186,2056,3415,4527,1773,157,1372,3890,5022,5084,1804,32,65,11,4,3648,35,29,0,0,0,4,17,39,5,60,12,3510,34,70,8,2,3,13,48,92,86,37,1,23,28,0,49,0,0,0,0,65,32,52
2,24,0,18,30,21,3,1,32,980,2960,3198,3318,718,578,9182,14498,13701,15049,6832,17,93,7,4,3151,42,49,2,0,0,20,34,37,9,59,3,4293,20,30,4,1,10,21,39,51,51,52,13,11,14,9,28,2,0,0,0,86,42,65
0,0,0,0,0,0,0,0,2,16,203,277,392,71,2,51,190,329,395,68,3,13,0,0,496,5,8,0,0,0,0,4,9,0,12,2,171,2,5,7,1,0,0,4,11,11,7,0,3,9,0,9,0,0,0,0,13,8,7
4,145,0,31,128,115,31,0,52,76,908,1443,1976,479,68,205,531,686,913,366,13,44,7,7,1890,31,13,0,1,0,7,11,25,3,37,2,911,24,30,3,1,1,7,22,34,42,20,0,17,11,0,27,0,0,0,0,41,19,31
2,19,0,0,52,43,14,5,32,89,1621,1771,1303,324,6,430,770,750,717,222,12,39,9,1,1769,18,18,0,1,0,3,13,20,5,31,1,590,13,17,2,0,3,5,15,23,27,17,2,12,19,0,24,1,0,0,0,36,16,29
1,21,0,0,19,25,30,4,12,43,499,801,1270,259,33,521,1272,1459,1014,257,8,38,8,5,746,18,18,0,0,0,7,12,19,3,33,0,525,8,26,1,0,0,8,21,26,20,23,3,4,19,0,19,0,0,0,0,37,15,21
9,172,1,96,215,303,76,10,206,470,5040,8331,13142,4130,190,1875,7020,10874,10696,2317,50,106,9,5,9896,30,60,13,4,0,4,17,80,8,101,17,5547,20,112,53,9,2,15,73,128,135,71,6,24,82,14,67,6,14,2,0,95,73,91
3,24,0,1,5,9,3,3,40,56,591,759,550,171,48,93,369,383,245,128,10,51,5,9,635,42,11,0,0,0,6,22,22,10,43,0,543,17,20,3,0,3,11,17,24,28,25,4,12,11,0,14,0,0,0,0,54,24,33
3,110,0,1,107,184,14,6,49,49,590,1127,1522,371,39,96,591,1092,1211,382,9,52,4,5,1731,43,11,0,0,0,6,12,30,9,48,4,1580,23,31,3,0,7,7,29,58,77,27,4,10,26,1,27,11,0,0,0,53,26,37
6,109,0,0,64,124,35,5,130,83,984,1598,2615,671,104,951,2797,2692,2224,618,26,77,12,7,2210,49,25,1,0,1,9,19,40,10,62,8,2129,43,37,6,3,3,8,46,83,86,46,1,15,25,1,40,0,0,0,0,75,40,56
6,164,0,19,145,174,66,9,69,69,2020,3150,3818,1078,64,556,1651,2010,1812,583,16,65,6,10,2637,39,24,0,0,0,1,27,35,3,56,7,1643,21,57,7,2,3,18,47,47,53,42,4,7,19,0,44,2,0,0,0,61,29,46
1,46,0,52,114,27,0,1,68,41,367,419,851,233,9,146,450,407,405,113,5,20,1,1,463,8,13,0,0,0,2,5,11,3,18,0,496,10,9,3,1,0,4,14,15,33,9,2,2,11,0,10,0,0,0,0,19,12,11
2,40,1,1,60,172,56,9,16,182,795,1016,1501,363,27,210,904,835,900,298,8,30,6,3,1365,21,11,0,0,0,2,7,20,5,28,1,1050,8,25,3,2,4,5,26,25,56,20,0,6,12,0,20,0,0,0,0,31,16,23
6,120,2,15,118,160,82,14,61,283,1515,2713,3714,896,61,545,1616,2066,1612,373,36,74,16,9,3343,42,30,0,0,1,1,28,39,8,67,3,1475,12,54,13,0,2,17,34,62,57,48,3,14,46,1,47,0,0,0,0,74,36,61
0,0,0,0,0,0,0,0,104,102,1794,2729,3633,996,159,445,1726,2556,3180,901,20,57,5,7,2575,40,17,0,0,0,3,14,34,9,52,3,1751,25,29,6,1,2,5,30,54,56,32,1,10,18,0,37,0,0,0,0,55,27,34
2,15,0,0,4,4,3,1,51,63,400,550,869,203,81,317,829,956,942,348,8,18,1,2,505,10,7,0,0,0,0,5,12,2,17,0,526,8,11,6,0,2,3,12,22,23,13,2,1,9,0,9,0,0,0,0,18,6,15
1,20,0,45,89,16,4,0,69,288,2167,2150,2790,760,55,568,1677,2166,2878,743,19,43,10,3,2616,25,19,0,0,0,1,12,31,1,39,6,2379,25,47,2,2,3,7,21,53,88,29,0,11,27,0,29,0,0,0,0,45,19,37
4,98,1,20,114,206,101,7,31,137,1437,2525,4031,1003,28,791,1994,2649,2525,732,22,67,10,9,2975,39,27,0,0,1,6,14,41,8,62,6,1770,25,47,11,1,2,11,42,59,70,39,7,15,25,0,46,1,0,0,0,69,29,52
1,17,1,1,7,6,7,2,34,340,1551,1281,2005,512,38,202,715,736,719,398,16,40,7,4,2023,28,11,0,0,0,3,7,25,7,33,3,1063,24,24,2,0,2,5,17,42,55,19,2,15,8,0,24,0,0,0,0,39,21,29
0,0,0,0,0,0,0,0,19,23,93,237,509,191,12,79,188,132,178,35,2,6,0,1,192,3,4,0,0,0,0,3,4,1,6,0,216,3,5,2,0,0,0,7,9,14,2,1,3,5,0,5,0,0,0,0,7,3,5
0,0,0,0,0,0,0,0,4,13,56,62,91,17,12,62,228,288,75,26,0,6,1,3,71,4,2,0,0,0,0,3,3,0,5,0,45,3,1,1,0,0,0,3,3,4,6,0,0,2,0,2,0,0,0,0,6,2,3
1,3,0,1,2,3,1,1,26,13,441,772,1061,282,33,227,671,590,689,336,13,54,10,3,761,33,17,1,0,0,9,18,27,6,48,0,458,15,17,0,1,3,6,27,15,14,25,5,14,10,0,16,0,0,0,0,56,19,30
4,73,0,1,110,171,71,8,43,186,1832,2287,4487,1114,14,559,1495,1261,1586,367,28,61,5,4,2789,18,36,1,0,1,4,17,38,2,56,1,1269,16,44,5,1,1,11,19,61,52,38,5,8,36,0,38,0,0,0,0,54,32,43
0,0,0,0,0,0,0,0,1,23,109,200,622,134,8,191,331,294,196,40,2,12,1,0,667,2,5,4,1,0,0,1,11,0,12,2,335,1,2,0,2,0,0,0,3,15,7,0,3,10,0,9,0,3,0,0,10,10,9
8,194,4,2,224,235,80,21,454,1015,9732,13611,19686,7722,555,2266,5240,6993,7365,3523,55,126,23,11,16366,78,48,2,0,0,7,25,80,19,107,25,7045,59,113,23,5,3,13,62,138,142,93,6,17,73,1,96,11,8,0,0,125,59,102
0,0,0,0,0,0,0,0,0,1,9,14,6,1,4,8,106,89,61,9,0,1,0,0,15,0,1,0,0,0,0,1,0,0,1,0,162,0,0,1,0,0,0,0,3,4,1,0,0,1,0,1,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,31,56,880,1247,1900,341,106,139,529,710,782,385,22,63,17,3,2080,38,26,1,1,0,6,17,41,9,54,7,1025,19,27,3,1,2,11,21,47,54,33,2,16,24,1,26,14,0,0,0,65,35,48
6,389,1,87,647,571,336,69,44,93,2485,4400,6742,1955,78,744,3051,6135,5698,1205,26,56,5,5,3720,26,30,1,0,0,0,14,40,4,52,11,2148,14,76,28,4,1,12,52,78,47,41,4,5,36,0,47,1,0,0,0,56,29,48
4,109,0,44,189,238,111,12,172,620,4210,6765,10779,2813,111,810,3106,4135,3808,1023,48,117,20,11,7106,48,60,8,2,0,7,34,76,4,103,10,3475,32,101,28,6,2,18,70,123,109,78,10,16,63,2,81,0,2,0,0,110,60,90
0,0,0,0,0,0,0,0,0,56,236,186,191,56,5,88,342,444,385,92,4,14,3,1,292,9,4,0,0,0,3,3,7,1,12,0,487,0,13,2,0,0,1,6,19,23,8,0,2,7,0,5,0,0,0,0,14,5,10
4,60,0,34,141,72,42,6,83,147,1418,2218,3591,1057,57,243,1028,1492,1343,470,25,64,11,6,3160,33,31,0,0,0,6,15,43,3,56,11,1279,20,39,8,1,3,9,36,53,44,38,5,13,26,0,41,0,0,0,0,61,34,45
2,14,0,1,7,4,26,4,44,248,2938,3279,5028,1516,29,641,1504,1238,2147,584,26,46,5,3,4085,23,22,0,0,0,2,13,29,6,36,9,1229,16,27,5,0,1,7,9,36,60,29,4,7,27,0,32,4,0,0,0,43,24,36
0,0,0,0,0,0,0,0,20,35,187,328,497,159,52,336,742,714,725,222,5,34,5,3,704,29,6,0,0,1,4,10,18,5,28,4,570,10,8,1,0,1,4,8,18,18,12,3,9,6,0,15,0,0,0,0,35,10,17
3,155,0,32,333,237,94,18,61,119,2116,3069,5397,1522,69,1114,2415,2365,2605,604,22,54,5,1,3983,8,41,5,0,0,0,10,37,8,50,8,2238,11,63,19,2,1,5,25,50,98,38,4,9,40,2,41,3,2,0,0,49,45,47
2,197,0,12,145,110,26,2,257,228,3092,4414,9147,3157,188,1521,3678,3843,3685,1189,21,61,11,5,5389,22,37,2,0,0,2,14,39,6,48,11,2929,22,46,7,2,0,5,22,57,78,36,3,11,32,0,39,1,6,1,0,59,33,47
0,0,0,0,0,0,0,0,3,21,123,133,193,52,13,298,610,441,628,191,2,9,1,2,192,8,1,0,0,0,0,4,4,1,7,0,243,3,6,1,0,0,4,6,11,7,3,1,4,1,0,5,1,0,0,0,8,2,5
7,516,40,90,842,700,441,90,654,382,5770,10801,16634,7015,212,918,3445,5397,7565,3120,39,98,18,10,9505,62,39,1,0,0,7,32,53,12,89,14,4192,41,65,16,1,5,15,47,87,104,55,14,23,66,2,82,3,1,0,0,100,58,82
3,33,0,0,25,29,31,3,42,108,1336,1738,3049,837,27,355,1678,1736,1660,432,17,41,5,6,1605,24,15,0,0,0,2,14,24,3,37,3,935,12,28,4,0,2,5,20,35,31,27,3,6,24,0,24,0,0,0,0,40,19,31
4,117,1,32,164,158,11,4,46,296,1857,2087,2063,440,43,535,1260,1434,1067,308,17,40,4,11,1494,27,12,0,0,0,0,14,18,9,34,3,1079,9,13,2,0,2,8,19,32,46,25,0,9,15,0,22,0,0,0,0,39,17,34
1,14,0,21,64,21,2,0,36,57,742,1241,2468,626,59,414,930,1129,1076,362,16,48,9,5,1811,31,17,1,0,0,4,11,34,3,42,4,1176,25,25,2,1,1,8,26,37,34,26,1,13,8,0,26,0,0,0,0,47,19,30
0,0,0,0,0,0,0,0,86,106,1868,3063,4358,1296,47,459,1378,1951,2277,617,23,61,14,7,3878,36,25,0,0,0,4,11,39,8,60,5,1569,35,31,4,1,1,4,16,44,56,35,2,16,16,1,41,0,0,0,0,60,32,51
2,32,0,74,106,32,6,6,86,164,1745,2988,5455,1657,112,553,2602,3666,3379,873,18,40,4,1,3099,11,23,6,0,0,0,7,30,3,38,6,1846,12,42,16,0,0,7,23,51,38,29,5,3,33,1,26,5,6,0,0,34,26,32
0,0,0,0,0,0,0,0,7,104,877,613,776,159,13,137,529,523,452,105,10,35,6,3,1037,20,13,0,0,1,4,11,18,3,31,2,631,11,19,4,0,0,3,13,20,39,19,0,11,6,0,18,0,0,0,0,34,22,25
7,92,2,30,399,367,238,46,2701,2387,28827,34929,51355,20995,2679,7616,17489,21870,25618,10650,68,166,18,5,25192,40,104,18,3,0,4,36,112,18,153,22,11977,47,210,84,29,7,19,96,205,292,114,19,22,130,35,55,75,23,3,0,144,128,138
4,354,3,9,254,317,178,38,83,150,2239,4034,5245,1495,191,750,1479,1536,1646,803,19,61,4,5,5144,43,21,0,0,0,5,11,38,14,55,9,1993,21,29,4,0,3,8,28,47,59,43,2,8,18,0,46,4,0,0,0,63,33,51
3,246,5,55,381,176,177,29,47,90,1466,2436,3355,942,34,1400,2420,2748,3046,760,22,51,12,8,2832,22,28,1,0,0,1,17,28,5,48,8,2379,15,56,5,4,4,8,32,77,95,38,2,9,26,0,40,1,1,0,0,50,32,45
